# FBP,BGP,LogLik
0.183679,0.183679,-10884.527161
0.018259,0.018259,-9693.548366
0.092731,0.092731,-9675.932190
0.100443,0.100443,-9757.187775
0.062734,0.062734,-9435.503871
0.009468,0.009468,-10130.055050
0.048337,0.048337,-9388.962462
0.019106,0.019106,-9668.225611
0.047650,0.047650,-9388.502207
0.161558,0.161558,-10552.529207
0.178996,0.178996,-10812.745156
0.008645,0.008645,-10198.398944
0.060389,0.060389,-9423.819757
0.196116,0.196116,-11078.747781
0.107901,0.107901,-9841.098274
0.125262,0.125262,-10053.159497
0.001109,0.001109,-11960.701154
0.096982,0.096982,-9719.975719
0.197666,0.197666,-11103.299513
0.075037,0.075037,-9516.397158
0.019408,0.019408,-9659.653614
0.092382,0.092382,-9672.404619
0.192601,0.192601,-11023.326081
0.068366,0.068366,-9468.773719
0.159785,0.159785,-10526.718316
0.159769,0.159769,-10526.496507
0.041650,0.041650,-9393.457355
0.088674,0.088674,-9635.755242
0.143120,0.143120,-10290.808873
0.082104,0.082104,-9574.978437
0.038201,0.038201,-9404.815842
0.193499,0.193499,-11037.443794
