# FBP,BGP,LogLik
0.027019,0.027019,-10429.651474
0.193998,0.193998,-11741.842863
0.050259,0.050259,-10259.461881
0.106274,0.106274,-10619.825411
0.021931,0.021931,-10542.769377
0.067781,0.067781,-10306.271506
0.024622,0.024622,-10477.307585
0.182369,0.182369,-11576.631245
0.189972,0.189972,-11684.249683
0.108264,0.108264,-10640.685287
0.069970,0.069970,-10317.843842
0.064698,0.064698,-10291.793316
0.184736,0.184736,-11609.959442
0.123868,0.123868,-10814.663936
0.081919,0.081919,-10397.115020
0.154310,0.154310,-11194.325446
0.107058,0.107058,-10627.999481
0.043594,0.043594,-10271.104574
0.047698,0.047698,-10261.481811
0.055041,0.055041,-10262.692845
0.003202,0.003202,-12165.836812
0.051163,0.051163,-10259.405584
0.122266,0.122266,-10796.041085
0.150677,0.150677,-11146.817189
0.022686,0.022686,-10522.962073
0.194449,0.194449,-11748.322824
0.097750,0.097750,-10534.482321
0.012448,0.012448,-10938.813073
0.187995,0.187995,-11656.117371
0.054335,0.054335,-10261.689912
0.061943,0.061943,-10280.814981
0.091869,0.091869,-10479.893017
