# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.086173,0.086173,-14408.785504, -14439.638703
2,0.098737,0.098737,-14094.303881, -14126.657754
2,0.085166,0.085166,-14564.423120, -14642.579833
2,0.062452,0.062452,-15280.811670, -15284.024232
2,0.085270,0.085270,-14434.599747, -14457.792268
2,0.178678,0.178678,-13285.538242, -13303.519910
2,0.188832,0.188832,-13292.984205, -13324.060251
2,0.100367,0.100367,-14059.029933, -14091.183203
2,0.124791,0.124791,-13650.080934, -13666.893736
2,0.023124,0.023124,-18677.531097, -18682.120321
2,0.063457,0.063457,-15233.962495, -15310.816165
2,0.082965,0.082965,-14502.750078, -14552.971586
2,0.173262,0.173262,-13298.103158, -13318.983886
2,0.050091,0.050091,-16087.468673, -16149.057181
2,0.096607,0.096607,-14142.172392, -14218.725454
2,0.197112,0.197112,-13254.625557, -13275.610401
2,0.103897,0.103897,-13986.520330, -13990.430463
2,0.122579,0.122579,-13679.083109, -13708.292853
2,0.024126,0.024126,-18468.546943, -18547.281984
2,0.165268,0.165268,-13325.018576, -13360.883442
2,0.120612,0.120612,-13706.072864, -13710.683872
2,0.109014,0.109014,-13890.203400, -13894.805550
2,0.068553,0.068553,-15012.156605, -15030.626832
2,0.060824,0.060824,-15359.072010, -15557.899429
2,0.083404,0.083404,-14618.517655, -14698.356243
2,0.136260,0.136260,-13520.839237, -13548.342733
2,0.175091,0.175091,-13293.363006, -13341.174069
2,0.102084,0.102084,-14023.109750, -14027.022575
2,0.133863,0.133863,-13545.078360, -13673.630053
2,0.117187,0.117187,-13755.867772, -13785.677302
2,0.124981,0.124981,-13647.653052, -13651.563015
2,0.134938,0.134938,-13534.036133, -13572.436026
3,0.086173,0.086173,-13610.168985, -13777.273774
3,0.098737,0.098737,-13564.483926, -13663.522376
3,0.085166,0.085166,-13596.715349, -13966.575995
3,0.062452,0.062452,-14203.438466, -14353.542754
3,0.085270,0.085270,-13594.379069, -13677.410755
3,0.178678,0.178678,-12812.372990, -12983.235751
3,0.188832,0.188832,-12821.228504, -13055.883889
3,0.100367,0.100367,-13308.968784, -13544.314341
3,0.124791,0.124791,-13077.963028, -13313.780648
3,0.023124,0.023124,-16714.922339, -17046.441872
3,0.063457,0.063457,-14170.576755, -14481.100250
3,0.082965,0.082965,-13647.389365, -13825.721595
3,0.173262,0.173262,-12903.270917, -13085.717697
3,0.050091,0.050091,-14827.299975, -14989.113353
3,0.096607,0.096607,-13583.617506, -13707.607699
3,0.197112,0.197112,-12838.251213, -12985.752305
3,0.103897,0.103897,-13255.588647, -13658.744872
3,0.122579,0.122579,-13228.675813, -13350.401747
3,0.024126,0.024126,-16594.130650, -16757.335789
3,0.165268,0.165268,-12925.508061, -13109.405346
3,0.120612,0.120612,-13247.238468, -13318.731100
3,0.109014,0.109014,-13561.618718, -13649.177877
3,0.068553,0.068553,-14051.571788, -14191.526318
3,0.060824,0.060824,-14332.731475, -14503.145222
3,0.083404,0.083404,-13637.070796, -13789.834787
3,0.136260,0.136260,-12949.732139, -13199.562060
3,0.175091,0.175091,-12812.615703, -12950.365518
3,0.102084,0.102084,-13403.635730, -13599.319375
3,0.133863,0.133863,-12967.723704, -13191.604826
3,0.117187,0.117187,-13091.544879, -13406.548530
3,0.124981,0.124981,-13046.205986, -13286.320100
3,0.134938,0.134938,-12947.604675, -13108.616595
4,0.086173,0.086173,-12888.245223, -13423.824465
4,0.098737,0.098737,-12631.401336, -12941.062973
4,0.085166,0.085166,-12766.756549, -13268.263925
4,0.062452,0.062452,-13353.830311, -13714.593431
4,0.085270,0.085270,-12928.336505, -13392.746557
4,0.178678,0.178678,-12484.058747, -12768.918764
4,0.188832,0.188832,-12424.327869, -12763.954284
4,0.100367,0.100367,-12619.032050, -12873.284080
4,0.124791,0.124791,-12656.784654, -13000.506069
4,0.023124,0.023124,-15144.939887, -15535.805512
4,0.063457,0.063457,-13507.009389, -13831.129768
