# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.141449,0.141449,-9222.672608, -9240.996589
2,0.013128,0.013128,-9815.393882, -9935.012134
2,0.157451,0.157451,-9378.203211, -9478.960840
2,0.195911,0.195911,-9860.450088, -9996.847249
2,0.015817,0.015817,-9614.800399, -9730.099249
2,0.091580,0.091580,-8825.464070, -8904.939347
2,0.115805,0.115805,-9027.243219, -9057.570619
2,0.162581,0.162581,-9434.171073, -9545.229639
2,0.030016,0.030016,-9463.068798, -9623.330852
2,0.072026,0.072026,-8733.405373, -8859.638571
2,0.167118,0.167118,-9485.974182, -9539.013529
2,0.103637,0.103637,-8916.215911, -9087.243535
2,0.032695,0.032695,-8973.444447, -9015.071320
2,0.173883,0.173883,-9567.036864, -9721.794312
2,0.187225,0.187225,-9739.596119, -9772.776264
2,0.147933,0.147933,-9282.061231, -9310.119273
2,0.194733,0.194733,-9843.676163, -9891.751930
2,0.185305,0.185305,-9713.774947, -9793.737384
2,0.024281,0.024281,-9203.455789, -9340.561834
2,0.081851,0.081851,-8769.682193, -8948.327861
2,0.119378,0.119378,-9062.173802, -9117.362648
2,0.146477,0.146477,-9268.282050, -9296.043672
2,0.107013,0.107013,-8945.236388, -8968.208563
2,0.129840,0.129840,-9129.859321, -9146.855702
2,0.023361,0.023361,-9237.071486, -9324.987598
2,0.081259,0.081259,-8766.879730, -8811.089895
2,0.001371,0.001371,-12703.914058, -12779.787266
2,0.130370,0.130370,-9133.696112, -9189.989590
2,0.032895,0.032895,-8969.333952, -9031.449036
2,0.080793,0.080793,-8764.725343, -8802.337232
2,0.099730,0.099730,-8884.493026, -8980.751799
2,0.133276,0.133276,-9155.425571, -9177.015542
3,0.141449,0.141449,-9346.688884, -9411.282449
3,0.013128,0.013128,-9122.045336, -9573.600184
3,0.157451,0.157451,-9550.799592, -9619.162381
3,0.195911,0.195911,-10026.322115, -10099.561315
3,0.015817,0.015817,-8985.185951, -9125.281401
3,0.091580,0.091580,-8763.679431, -8907.594892
3,0.115805,0.115805,-9027.793299, -9172.220890
3,0.162581,0.162581,-9608.127847, -9682.607543
3,0.030016,0.030016,-8620.948867, -8830.801841
3,0.072026,0.072026,-8601.738891, -8743.868852
3,0.167118,0.167118,-9656.661639, -9781.312481
3,0.103637,0.103637,-8888.162500, -9064.077424
3,0.032695,0.032695,-8589.065642, -8955.293699
3,0.173883,0.173883,-9760.984432, -9834.127525
3,0.187225,0.187225,-9904.083392, -10016.278237
3,0.147933,0.147933,-9441.316843, -9569.119188
3,0.194733,0.194733,-10014.120527, -10081.128893
3,0.185305,0.185305,-9892.715567, -9977.184305
3,0.024281,0.024281,-8719.368017, -8930.995085
3,0.081851,0.081851,-8675.850645, -8783.171493
3,0.119378,0.119378,-9190.260929, -9218.124739
3,0.146477,0.146477,-9399.802425, -9509.258464
3,0.107013,0.107013,-8949.171799, -9140.257709
3,0.129840,0.129840,-9279.701782, -9326.502418
3,0.023361,0.023361,-8739.950439, -8940.795388
3,0.081259,0.081259,-8670.937624, -8890.381814
3,0.001371,0.001371,-11230.401879, -11668.580992
3,0.130370,0.130370,-9280.303336, -9363.528417
3,0.032895,0.032895,-8586.981825, -8832.686811
3,0.080793,0.080793,-8667.107730, -8813.121698
3,0.099730,0.099730,-8846.152180, -8956.746917
3,0.133276,0.133276,-9301.480042, -9353.672320
4,0.141449,0.141449,-9554.987313, -9683.315869
4,0.013128,0.013128,-9276.769668, -9616.539965
4,0.157451,0.157451,-9702.584098, -9777.091220
4,0.195911,0.195911,-10245.632975, -10338.014731
4,0.015817,0.015817,-9097.128892, -9644.396840
4,0.091580,0.091580,-8941.250904, -9269.080845
4,0.115805,0.115805,-9232.060978, -9433.404276
4,0.162581,0.162581,-9766.335595, -9838.347322
4,0.030016,0.030016,-8851.404885, -9053.885489
4,0.072026,0.072026,-8748.331514, -8980.838967
4,0.167118,0.167118,-9823.012083, -9918.119756
4,0.103637,0.103637,-9057.735423, -9223.689310
4,0.032695,0.032695,-8718.568447, -8994.948391
4,0.173883,0.173883,-9913.974609, -10033.538951
4,0.187225,0.187225,-10096.555134, -10173.879652
4,0.147933,0.147933,-9590.839277, -9671.966827
4,0.194733,0.194733,-10211.629083, -10290.763442
4,0.185305,0.185305,-10073.217115, -10205.267617
4,0.024281,0.024281,-9024.567386, -9552.421015
4,0.081851,0.081851,-8832.701128, -8981.228295
4,0.119378,0.119378,-9347.208994, -9453.207784
4,0.146477,0.146477,-9606.907736, -9677.215221
4,0.107013,0.107013,-9080.456578, -9214.108024
4,0.129840,0.129840,-9368.715447, -9435.543668
4,0.023361,0.023361,-8861.556923, -9265.680490
4,0.081259,0.081259,-8830.090921, -8990.843050
4,0.001371,0.001371,-11274.966824, -11964.132746
4,0.130370,0.130370,-9368.657534, -9417.019290
4,0.032895,0.032895,-8814.789198, -9437.587948
4,0.080793,0.080793,-8831.535599, -9208.568506
4,0.099730,0.099730,-9019.833764, -9236.944440
4,0.133276,0.133276,-9412.650581, -9518.493896
5,0.141449,0.141449,-9706.479853, -9875.970897
5,0.013128,0.013128,-9490.415822, -10103.793484
5,0.157451,0.157451,-9885.153180, -9970.674790
5,0.195911,0.195911,-10638.527749, -10688.184305
5,0.015817,0.015817,-9496.891078, -10425.387438
5,0.091580,0.091580,-9135.702481, -9381.578112
5,0.115805,0.115805,-9474.780579, -9703.319675
5,0.162581,0.162581,-9942.591769, -10054.277127
5,0.030016,0.030016,-8996.304157, -9468.931222
5,0.072026,0.072026,-9115.170070, -9354.173764
5,0.167118,0.167118,-10026.052983, -10262.466374
5,0.103637,0.103637,-9286.056404, -9511.569171
5,0.032695,0.032695,-9124.648410, -9526.956585
5,0.173883,0.173883,-10095.339554, -10195.216029
5,0.187225,0.187225,-10279.463219, -10346.850824
5,0.147933,0.147933,-9774.358890, -9902.531369
5,0.194733,0.194733,-10385.217070, -10524.160588
5,0.185305,0.185305,-10269.188176, -10422.155689
5,0.024281,0.024281,-9262.323748, -9603.552315
5,0.081851,0.081851,-9029.429529, -9256.464774
5,0.119378,0.119378,-9546.735949, -9647.838078
5,0.146477,0.146477,-9795.600456, -9865.791266
5,0.107013,0.107013,-9460.352659, -9596.884383
5,0.129840,0.129840,-9562.307870, -9665.863962
5,0.023361,0.023361,-9155.433848, -9622.211334
5,0.081259,0.081259,-9035.974694, -9170.750953
5,0.001371,0.001371,-11725.826466, -13009.099621
5,0.130370,0.130370,-9565.089324, -9629.059901
5,0.032895,0.032895,-8979.938509, -9535.519598
5,0.080793,0.080793,-9190.591924, -9458.791052
5,0.099730,0.099730,-9206.002703, -9292.098597
5,0.133276,0.133276,-9858.107557, -9942.122562
6,0.141449,0.141449,-10209.094201, -10257.841911
6,0.013128,0.013128,-9851.659667, -10529.294028
6,0.157451,0.157451,-10053.324899, -10133.888345
6,0.195911,0.195911,-10573.605529, -10658.584969
6,0.015817,0.015817,-9776.304874, -10241.651424
6,0.091580,0.091580,-9337.439513, -9629.909420
6,0.115805,0.115805,-9689.043882, -9838.804123
6,0.162581,0.162581,-10126.018771, -10215.803558
6,0.030016,0.030016,-9334.244793, -10157.087554
6,0.072026,0.072026,-9359.997998, -9597.378698
6,0.167118,0.167118,-10186.686888, -10265.301806
6,0.103637,0.103637,-9436.381910, -9664.225677
6,0.032695,0.032695,-9185.552055, -9595.087809
6,0.173883,0.173883,-10288.824933, -10364.535442
6,0.187225,0.187225,-10457.434272, -10561.652636
6,0.147933,0.147933,-9945.253581, -10009.721933
6,0.194733,0.194733,-10574.223307, -10758.337077
6,0.185305,0.185305,-10419.979518, -10498.784692
6,0.024281,0.024281,-9302.790550, -9941.414597
6,0.081851,0.081851,-9262.097066, -9520.245621
6,0.119378,0.119378,-9910.453164, -10039.321833
6,0.146477,0.146477,-9920.934147, -10026.274301
6,0.107013,0.107013,-9623.439155, -9752.220576
6,0.129840,0.129840,-9759.290176, -9850.245104
6,0.023361,0.023361,-10404.894615, -10735.248549
6,0.081259,0.081259,-9240.383984, -9479.062433
6,0.001371,0.001371,-12070.464080, -13183.832969
6,0.130370,0.130370,-9762.007483, -9932.774888
6,0.032895,0.032895,-9408.192337, -10004.363583
6,0.080793,0.080793,-9236.541131, -9514.620792
6,0.099730,0.099730,-9448.345986, -9690.048268
6,0.133276,0.133276,-9834.435464, -9885.461778
7,0.141449,0.141449,-10064.777551, -10221.045626
7,0.013128,0.013128,-10028.104423, -10586.994611
7,0.157451,0.157451,-10242.052581, -10350.175552
7,0.195911,0.195911,-10724.728054, -10870.566805
7,0.015817,0.015817,-10020.962095, -10694.627340
7,0.091580,0.091580,-9571.691642, -9827.234634
7,0.115805,0.115805,-10144.152544, -10236.041122
7,0.162581,0.162581,-10277.197632, -10417.988882
7,0.030016,0.030016,-9594.143161, -10038.188554
7,0.072026,0.072026,-9679.130375, -9870.914577
7,0.167118,0.167118,-10359.757884, -10473.825642
7,0.103637,0.103637,-9727.517130, -9927.958118
7,0.032695,0.032695,-9763.607432, -10334.573840
7,0.173883,0.173883,-10433.205196, -10520.174397
7,0.187225,0.187225,-10801.424341, -10875.654887
7,0.147933,0.147933,-10098.279970, -10234.805605
7,0.194733,0.194733,-10719.844457, -10842.762445
7,0.185305,0.185305,-10592.469711, -10778.965173
7,0.024281,0.024281,-9905.744950, -10606.713080
7,0.081851,0.081851,-9531.995466, -9764.447235
7,0.119378,0.119378,-9872.579752, -10023.253285
7,0.146477,0.146477,-10106.334540, -10300.138166
7,0.107013,0.107013,-9653.833184, -9859.130061
7,0.129840,0.129840,-9951.685244, -10046.974865
7,0.023361,0.023361,-9642.372757, -10291.253483
7,0.081259,0.081259,-9874.801279, -10102.334493
7,0.001371,0.001371,-12551.919241, -13579.420489
7,0.130370,0.130370,-9912.883515, -10005.122104
7,0.032895,0.032895,-9846.941548, -10242.805144
7,0.080793,0.080793,-9575.434754, -9820.930796
7,0.099730,0.099730,-9635.827579, -9866.598425
7,0.133276,0.133276,-9978.094414, -10165.906877
8,0.141449,0.141449,-10157.089086, -10335.777930
8,0.013128,0.013128,-10777.538582, -11577.060142
8,0.157451,0.157451,-10359.295489, -10540.427844
8,0.195911,0.195911,-10845.167525, -10933.054446
8,0.015817,0.015817,-10443.222561, -11241.777957
8,0.091580,0.091580,-9753.818785, -9925.033986
8,0.115805,0.115805,-9988.777998, -10147.744321
8,0.162581,0.162581,-10438.296880, -10508.026824
8,0.030016,0.030016,-9971.105944, -10521.602645
8,0.072026,0.072026,-9538.275911, -9898.980382
8,0.167118,0.167118,-10503.245201, -10708.225461
8,0.103637,0.103637,-9813.664660, -10004.494345
8,0.032695,0.032695,-9843.711406, -10444.712990
8,0.173883,0.173883,-10817.013981, -10881.911277
8,0.187225,0.187225,-10739.851594, -10921.567916
8,0.147933,0.147933,-10252.056699, -10348.795114
8,0.194733,0.194733,-11012.299624, -11096.394038
8,0.185305,0.185305,-10918.287280, -10995.525924
8,0.024281,0.024281,-10128.939189, -10701.369208
8,0.081851,0.081851,-9667.287987, -9814.522589
8,0.119378,0.119378,-9951.569429, -10109.360772
8,0.146477,0.146477,-10259.326958, -10303.716032
8,0.107013,0.107013,-9870.976558, -10025.099167
8,0.129840,0.129840,-10096.180953, -10227.386399
8,0.023361,0.023361,-9951.358761, -10571.724157
8,0.081259,0.081259,-9644.686552, -9997.559696
8,0.001371,0.001371,-13322.441837, -14544.002966
8,0.130370,0.130370,-10100.259353, -10204.268482
8,0.032895,0.032895,-10464.808257, -10617.950257
8,0.080793,0.080793,-9623.440500, -9975.706836
8,0.099730,0.099730,-9807.410754, -10061.925613
8,0.133276,0.133276,-10114.336388, -10224.763627
9,0.141449,0.141449,-10290.021543, -10402.100849
