# FBP,BGP,LogLik
0.089472,0.089472,-9959.209705
0.174659,0.174659,-10949.173424
0.070271,0.070271,-9828.655986
0.013032,0.013032,-10399.677694
0.088535,0.088535,-9951.580005
0.199692,0.199692,-11310.880725
0.075955,0.075955,-9861.060197
0.038611,0.038611,-9812.666976
0.009026,0.009026,-10688.046651
0.034194,0.034194,-9848.191546
0.064813,0.064813,-9803.655324
0.114856,0.114856,-10201.444740
0.133118,0.133118,-10408.538733
0.008564,0.008564,-10731.470098
0.187236,0.187236,-11127.920100
0.047128,0.047128,-9778.945293
0.029812,0.029812,-9899.977927
0.106166,0.106166,-10111.622218
0.135517,0.135517,-10437.349759
0.061451,0.061451,-9791.695125
0.133888,0.133888,-10417.753802
0.058859,0.058859,-9784.490737
0.180434,0.180434,-11030.479747
0.176139,0.176139,-10969.880094
0.014239,0.014239,-10334.764084
0.030081,0.030081,-9896.248745
0.139612,0.139612,-10487.284279
0.000024,0.000024,-16414.780366
0.164363,0.164363,-10807.629605
0.071248,0.071248,-9833.788983
0.148924,0.148924,-10604.254836
0.008847,0.008847,-10704.498306
