FBP, BGP
0.12824, 0.12824
0.12824, 0.12824
0.0978481, 0.0978481
0.0972494, 0.0972494
0.0936474, 0.0936474
0.0936474, 0.0936474
0.0779932, 0.0779932
0.0737161, 0.0737161
0.0737161, 0.0737161
0.0737161, 0.0737161
0.0814255, 0.0814255
0.0833069, 0.0833069
0.0751476, 0.0751476
0.0751476, 0.0751476
0.0751476, 0.0751476
0.0751476, 0.0751476
0.0751476, 0.0751476
0.0771601, 0.0771601
0.0771601, 0.0771601
0.0771601, 0.0771601
0.0971348, 0.0971348
0.0960115, 0.0960115
0.0908223, 0.0908223
0.0908223, 0.0908223
0.0710528, 0.0710528
0.0488625, 0.0488625
0.0396782, 0.0396782
0.0396782, 0.0396782
0.0342489, 0.0342489
0.0342489, 0.0342489
0.0342489, 0.0342489
0.0373679, 0.0373679
0.0380243, 0.0380243
0.0380243, 0.0380243
0.0380243, 0.0380243
0.0413647, 0.0413647
0.0413647, 0.0413647
0.0413647, 0.0413647
0.0399034, 0.0399034
0.0399034, 0.0399034
0.0248144, 0.0248144
0.0248144, 0.0248144
0.0230691, 0.0230691
0.0230691, 0.0230691
0.0230691, 0.0230691
0.0230691, 0.0230691
0.0230691, 0.0230691
0.0230691, 0.0230691
0.0230691, 0.0230691
0.0230691, 0.0230691
0.0181069, 0.0181069
0.0181069, 0.0181069
0.0181069, 0.0181069
0.0199397, 0.0199397
0.0199397, 0.0199397
0.0199397, 0.0199397
0.023164, 0.023164
0.023164, 0.023164
0.023164, 0.023164
0.023164, 0.023164
0.0168015, 0.0168015
0.0168015, 0.0168015
0.0168015, 0.0168015
0.0168015, 0.0168015
0.0169521, 0.0169521
0.0169521, 0.0169521
0.0169521, 0.0169521
0.0169521, 0.0169521
0.0169521, 0.0169521
0.0124101, 0.0124101
0.0124101, 0.0124101
0.0124101, 0.0124101
0.0159344, 0.0159344
0.0159344, 0.0159344
0.0110815, 0.0110815
0.0110815, 0.0110815
0.0110815, 0.0110815
0.0110815, 0.0110815
0.0110815, 0.0110815
0.0110815, 0.0110815
0.0298732, 0.0298732
0.0298732, 0.0298732
0.0298732, 0.0298732
0.0249351, 0.0249351
