# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.190498,0.190498,-9841.442692, -9861.837713
2,0.099732,0.099732,-9004.026773, -9043.432327
2,0.065667,0.065667,-9073.551741, -9124.059356
2,0.073611,0.073611,-9024.045616, -9058.005311
2,0.160769,0.160769,-9461.104350, -9588.889694
2,0.076474,0.076474,-9012.053319, -9100.992471
2,0.154034,0.154034,-9386.861824, -9467.073878
2,0.088092,0.088092,-8990.097301, -9334.859430
2,0.168815,0.168815,-9555.901784, -9618.245242
2,0.015241,0.015241,-10724.481939, -10846.338447
2,0.096226,0.096226,-8996.507123, -9171.054003
2,0.093370,0.093370,-8992.431910, -9135.927346
2,0.052866,0.052866,-9215.942892, -9396.575648
2,0.188723,0.188723,-9816.523108, -9867.525391
2,0.181006,0.181006,-9711.288701, -9774.120622
2,0.088719,0.088719,-8990.004783, -9135.459115
2,0.019432,0.019432,-10373.673187, -10613.367137
2,0.041357,0.041357,-9437.776897, -9566.576500
2,0.054298,0.054298,-9195.365006, -9268.314399
2,0.096844,0.096844,-8997.635905, -9017.869433
2,0.067675,0.067675,-9058.607297, -9234.292471
2,0.154827,0.154827,-9395.356755, -9440.126838
2,0.095205,0.095205,-8994.834082, -9203.733927
2,0.174074,0.174074,-9621.249144, -9670.104029
2,0.199156,0.199156,-9966.725156, -10043.104823
2,0.043967,0.043967,-9377.376958, -9553.855020
2,0.122334,0.122334,-9109.651337, -9205.557144
2,0.169500,0.169500,-9564.264988, -9614.018537
2,0.189047,0.189047,-9821.057856, -9942.945752
2,0.058017,0.058017,-9147.858406, -9250.927299
2,0.145409,0.145409,-9299.038419, -9343.147580
2,0.003003,0.003003,-13314.906207, -13447.239095
3,0.190498,0.190498,-9910.260478, -10077.364612
3,0.099732,0.099732,-9004.753522, -9173.247275
3,0.065667,0.065667,-8783.280516, -9068.864853
3,0.073611,0.073611,-8803.824222, -9044.377796
3,0.160769,0.160769,-9491.198484, -9554.319000
3,0.076474,0.076474,-8916.082454, -9205.919042
3,0.154034,0.154034,-9411.736114, -9798.883841
3,0.088092,0.088092,-8827.002628, -9176.906973
3,0.168815,0.168815,-9599.227169, -9863.087795
3,0.015241,0.015241,-9668.033244, -10007.804989
3,0.096226,0.096226,-8854.822265, -9066.146441
3,0.093370,0.093370,-8838.734974, -9295.842235
3,0.052866,0.052866,-8807.167641, -9062.075996
3,0.188723,0.188723,-9883.393175, -9956.088550
3,0.181006,0.181006,-9769.409901, -10035.022376
3,0.088719,0.088719,-8950.908428, -9028.661954
3,0.019432,0.019432,-9449.410703, -9819.237043
3,0.041357,0.041357,-8921.272006, -9383.688932
3,0.054298,0.054298,-8951.402829, -9084.205651
3,0.096844,0.096844,-8858.481137, -9022.350430
3,0.067675,0.067675,-8766.353075, -8906.778063
3,0.154827,0.154827,-9421.547304, -9567.377626
3,0.095205,0.095205,-8848.919634, -9093.953868
3,0.174074,0.174074,-9679.883158, -9845.825534
3,0.199156,0.199156,-10059.342292, -10209.107077
3,0.043967,0.043967,-8877.536220, -9207.791266
3,0.122334,0.122334,-9098.289517, -9433.198347
3,0.169500,0.169500,-10056.566738, -10085.227133
3,0.189047,0.189047,-9909.098408, -10045.041472
3,0.058017,0.058017,-8783.799276, -9093.719751
3,0.145409,0.145409,-9308.658397, -9493.579415
