# FBP,BGP,LogLik
0.000706,0.000706,-12008.774087
0.096178,0.096178,-9074.172334
0.185491,0.185491,-10138.944024
0.039673,0.039673,-8874.174494
0.010418,0.010418,-9612.139270
0.081356,0.081356,-8959.643524
0.074479,0.074479,-8916.754399
0.171431,0.171431,-9939.458921
0.005322,0.005322,-10161.029753
0.184030,0.184030,-10117.727593
0.136181,0.136181,-9487.288364
0.180845,0.180845,-10071.873976
0.121506,0.121506,-9321.443881
0.162391,0.162391,-9816.796850
0.067109,0.067109,-8879.901261
0.069913,0.069913,-8892.693762
0.077975,0.077975,-8937.625411
0.150959,0.150959,-9668.163587
0.073858,0.073858,-8913.260793
0.048444,0.048444,-8845.722453
0.187534,0.187534,-10168.791632
0.181602,0.181602,-10082.725423
0.069759,0.069759,-8891.951380
0.126928,0.126928,-9381.012938
0.054768,0.054768,-8845.590013
0.041223,0.041223,-8866.248739
0.067268,0.067268,-8880.583853
0.065420,0.065420,-8872.992543
0.176455,0.176455,-10009.542945
0.164461,0.164461,-9844.492575
0.141925,0.141925,-9556.019631
0.191869,0.191869,-10232.861742
