# FBP,BGP,LogLik
0.007882,0.007882,-9584.015931
0.165564,0.165564,-9759.702894
0.027898,0.027898,-8714.090870
0.187908,0.187908,-10116.756210
0.018173,0.018173,-8951.601413
0.167596,0.167596,-9791.132518
0.084707,0.084707,-8740.910449
0.174547,0.174547,-9900.285019
0.153715,0.153715,-9580.790660
0.170576,0.170576,-9837.636885
0.094048,0.094048,-8827.126219
0.142754,0.142754,-9422.458509
0.063734,0.063734,-8600.834769
0.009435,0.009435,-9435.087396
0.046480,0.046480,-8571.331438
0.000272,0.000272,-12779.174487
0.072606,0.072606,-8649.445053
0.098766,0.098766,-8874.952708
0.003881,0.003881,-10211.200300
0.001546,0.001546,-11080.519195
0.137293,0.137293,-9346.367624
0.020087,0.020087,-8889.042685
0.014769,0.014769,-9092.140946
0.099120,0.099120,-8878.646125
0.143632,0.143632,-9434.873851
0.195433,0.195433,-10242.355516
0.059079,0.059079,-8583.182817
0.023504,0.023504,-8799.074864
0.013707,0.013707,-9145.868825
0.041502,0.041502,-8585.705444
0.020011,0.020011,-8891.348277
0.000677,0.000677,-11883.551564
