# FBP,BGP,LogLik
0.084509,0.084509,-10292.544726
0.049007,0.049007,-10145.823027
0.023480,0.023480,-10377.869496
0.060211,0.060211,-10159.104617
0.029053,0.029053,-10275.616773
0.018437,0.018437,-10518.799269
0.120586,0.120586,-10632.220546
0.072837,0.072837,-10214.701440
0.112914,0.112914,-10550.675786
0.038267,0.038267,-10182.160209
0.135381,0.135381,-10799.826802
0.043101,0.043101,-10158.315934
0.055605,0.055605,-10148.693462
0.148352,0.148352,-10956.187787
0.111948,0.111948,-10540.699385
0.066967,0.066967,-10184.502124
0.108598,0.108598,-10506.671571
0.138797,0.138797,-10840.219713
0.182426,0.182426,-11399.992619
0.116143,0.116143,-10584.494400
0.046537,0.046537,-10149.091614
0.149340,0.149340,-10968.407962
0.155554,0.155554,-11046.264833
0.040080,0.040080,-10171.569061
0.164115,0.164115,-11156.074488
0.092987,0.092987,-10360.941399
0.155953,0.155953,-11051.325117
0.047496,0.047496,-10147.510298
0.066516,0.066516,-10182.473532
0.190739,0.190739,-11514.489934
0.131563,0.131563,-10755.388775
0.154576,0.154576,-11033.902248
