# FBP,BGP,LogLik
0.097710,0.097710,-9865.819413
0.183529,0.183529,-10944.293516
0.146091,0.146091,-10424.107374
0.187731,0.187731,-11006.052163
0.151540,0.151540,-10496.079408
0.044939,0.044939,-9608.913237
0.137933,0.137933,-10319.139554
0.047688,0.047688,-9602.585579
0.058123,0.058123,-9607.213517
0.044289,0.044289,-9610.960437
0.099275,0.099275,-9880.881192
0.086803,0.086803,-9768.778115
0.181427,0.181427,-10913.627414
0.118626,0.118626,-10086.252542
0.071955,0.071955,-9664.236047
0.124670,0.124670,-10156.564158
0.068307,0.068307,-9644.741526
0.167263,0.167263,-10711.262083
0.017817,0.017817,-10024.026865
0.043743,0.043743,-9612.855758
0.018810,0.018810,-9987.692852
0.173431,0.173431,-10798.451257
0.054413,0.054413,-9600.988835
0.198946,0.198946,-11173.892152
0.030381,0.030381,-9722.595972
0.064834,0.064834,-9628.944666
0.178665,0.178665,-10873.576166
0.127079,0.127079,-10185.273991
0.098961,0.098961,-9877.843215
0.032765,0.032765,-9692.093364
0.158185,0.158185,-10585.710834
0.066605,0.066605,-9636.644908
