FBP, BGP
0.107984, 0.107984
0.107984, 0.107984
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.106613, 0.106613
0.106613, 0.106613
0.106613, 0.106613
0.10732, 0.10732
0.10732, 0.10732
0.10732, 0.10732
0.10732, 0.10732
0.10732, 0.10732
0.10732, 0.10732
0.10732, 0.10732
0.10732, 0.10732
0.10732, 0.10732
0.10732, 0.10732
0.103762, 0.103762
0.104546, 0.104546
0.104546, 0.104546
0.104546, 0.104546
0.104546, 0.104546
0.104546, 0.104546
0.104546, 0.104546
0.104546, 0.104546
0.104546, 0.104546
0.104546, 0.104546
0.104546, 0.104546
0.104546, 0.104546
0.0947562, 0.0947562
0.0947562, 0.0947562
0.0947562, 0.0947562
0.0947562, 0.0947562
0.1022, 0.1022
0.1022, 0.1022
0.1022, 0.1022
0.1022, 0.1022
0.101531, 0.101531
0.0999873, 0.0999873
0.100481, 0.100481
0.0984224, 0.0984224
0.100366, 0.100366
0.100366, 0.100366
0.100366, 0.100366
0.100366, 0.100366
0.102527, 0.102527
0.102527, 0.102527
0.102527, 0.102527
0.0974005, 0.0974005
0.0974005, 0.0974005
0.0974005, 0.0974005
0.0974005, 0.0974005
0.0974005, 0.0974005
0.0974005, 0.0974005
0.0974005, 0.0974005
0.0974005, 0.0974005
0.0983781, 0.0983781
0.0983781, 0.0983781
0.0983781, 0.0983781
0.0983781, 0.0983781
0.107218, 0.107218
0.107218, 0.107218
0.107218, 0.107218
0.107218, 0.107218
0.107218, 0.107218
0.108679, 0.108679
0.095663, 0.095663
0.095663, 0.095663
0.100387, 0.100387
0.100387, 0.100387
0.10066, 0.10066
0.10066, 0.10066
0.100121, 0.100121
0.100121, 0.100121
0.100121, 0.100121
0.100121, 0.100121
0.100121, 0.100121
0.100121, 0.100121
0.100121, 0.100121
0.100121, 0.100121
0.100121, 0.100121
0.100121, 0.100121
0.100121, 0.100121
0.100121, 0.100121
0.100414, 0.100414
0.100414, 0.100414
0.100414, 0.100414
0.100414, 0.100414
0.100414, 0.100414
0.100414, 0.100414
0.100414, 0.100414
0.100414, 0.100414
0.100414, 0.100414
0.100414, 0.100414
0.100979, 0.100979
0.100979, 0.100979
0.102615, 0.102615
0.102615, 0.102615
0.0957938, 0.0957938
0.0957938, 0.0957938
0.093364, 0.093364
0.093364, 0.093364
0.093364, 0.093364
0.0932727, 0.0932727
0.0989077, 0.0989077
0.0989077, 0.0989077
0.0989077, 0.0989077
0.0989077, 0.0989077
0.0989077, 0.0989077
0.0989077, 0.0989077
0.0989077, 0.0989077
0.100828, 0.100828
0.100432, 0.100432
0.100432, 0.100432
0.0960858, 0.0960858
0.0960858, 0.0960858
0.0960858, 0.0960858
0.0957846, 0.0957846
0.0957846, 0.0957846
0.0957846, 0.0957846
0.0957846, 0.0957846
0.0957846, 0.0957846
0.0957846, 0.0957846
0.0957846, 0.0957846
0.0957846, 0.0957846
0.0957846, 0.0957846
0.0957846, 0.0957846
0.101934, 0.101934
0.101934, 0.101934
0.101934, 0.101934
0.101934, 0.101934
0.101474, 0.101474
0.101474, 0.101474
0.101474, 0.101474
0.096086, 0.096086
0.096086, 0.096086
0.096086, 0.096086
0.096086, 0.096086
0.096086, 0.096086
0.096086, 0.096086
0.096086, 0.096086
0.096086, 0.096086
0.096086, 0.096086
0.0952188, 0.0952188
0.100262, 0.100262
0.100262, 0.100262
0.100262, 0.100262
0.0987841, 0.0987841
0.0987841, 0.0987841
0.0987841, 0.0987841
0.0987841, 0.0987841
0.0987841, 0.0987841
0.0992301, 0.0992301
0.0992301, 0.0992301
0.0992301, 0.0992301
0.0992301, 0.0992301
0.0992301, 0.0992301
0.0992301, 0.0992301
0.0992301, 0.0992301
0.0992301, 0.0992301
0.0992301, 0.0992301
0.0992301, 0.0992301
0.0992301, 0.0992301
0.0992301, 0.0992301
0.0927109, 0.0927109
0.0927109, 0.0927109
0.0927109, 0.0927109
0.0927109, 0.0927109
0.0927109, 0.0927109
0.0965548, 0.0965548
0.0968782, 0.0968782
0.0968782, 0.0968782
0.10014, 0.10014
0.10014, 0.10014
0.10014, 0.10014
0.10014, 0.10014
