# FBP,BGP,LogLik
0.135134,0.135134,-8775.497523
0.008777,0.008777,-8967.402163
0.186660,0.186660,-9504.108652
0.169237,0.169237,-9237.725924
0.187323,0.187323,-9514.631358
0.034725,0.034725,-8187.773545
0.029195,0.029195,-8246.601030
0.108049,0.108049,-8472.333878
0.167744,0.167744,-9215.800405
0.147676,0.147676,-8935.872481
0.051725,0.051725,-8128.241723
0.095050,0.095050,-8351.371681
0.047072,0.047072,-8131.159432
0.112846,0.112846,-8521.310840
0.113506,0.113506,-8528.223416
0.016624,0.016624,-8531.767752
0.126563,0.126563,-8672.842533
0.019406,0.019406,-8441.655352
0.005581,0.005581,-9317.694177
0.171026,0.171026,-9264.171381
0.049689,0.049689,-8128.529593
0.093020,0.093020,-8334.173640
0.187592,0.187592,-9518.910324
0.125083,0.125083,-8655.709352
0.074521,0.074521,-8202.720052
0.170368,0.170368,-9254.423499
0.042915,0.042915,-8141.232702
0.097652,0.097652,-8374.124454
0.113148,0.113148,-8524.463770
0.117165,0.117165,-8567.242684
0.003502,0.003502,-9699.534930
0.075393,0.075393,-8207.758205
