# FBP,BGP,LogLik
0.161394,0.161394,-10018.642473
0.078874,0.078874,-9142.370628
0.146215,0.146215,-9819.853623
0.032214,0.032214,-9107.758164
0.120140,0.120140,-9512.549378
0.173173,0.173173,-10181.992769
0.196704,0.196704,-10530.486201
0.015873,0.015873,-9448.892698
0.085669,0.085669,-9190.474966
0.040909,0.040909,-9049.681566
0.090127,0.090127,-9225.285768
0.109553,0.109553,-9401.931033
0.018665,0.018665,-9353.703494
0.059372,0.059372,-9047.025292
0.185517,0.185517,-10361.224257
0.113801,0.113801,-9445.225216
0.091482,0.091482,-9236.336663
0.150705,0.150705,-9877.237267
0.148372,0.148372,-9847.274467
0.009716,0.009716,-9778.770496
0.141739,0.141739,-9763.905391
0.167849,0.167849,-10107.207033
0.033188,0.033188,-9098.550026
0.156200,0.156200,-9949.093170
0.057307,0.057307,-9041.724171
0.061294,0.061294,-9052.935345
0.133052,0.133052,-9658.965203
0.022278,0.022278,-9259.920338
0.132974,0.132974,-9658.047922
0.177571,0.177571,-10244.932318
0.139262,0.139262,-9733.479434
0.088066,0.088066,-9208.885336
