# FBP,BGP,LogLik
0.128113,0.128113,-8557.120572
0.068176,0.068176,-7993.951626
0.062005,0.062005,-7965.650325
0.194538,0.194538,-9534.080337
0.142913,0.142913,-8749.156570
0.100501,0.100501,-8247.072398
0.042815,0.042815,-7946.364797
0.097979,0.097979,-8222.411610
0.152428,0.152428,-8880.898275
0.194943,0.194943,-9540.899775
0.134562,0.134562,-8638.792250
0.004927,0.004927,-9162.900587
0.093035,0.093035,-8176.120531
0.165535,0.165535,-9072.315109
0.102103,0.102103,-8263.102733
0.068821,0.068821,-7997.380117
0.172221,0.172221,-9174.193622
0.115518,0.115518,-8407.230127
0.100878,0.100878,-8250.824903
0.097258,0.097258,-8215.482595
0.136299,0.136299,-8661.324705
0.091057,0.091057,-8158.404230
0.113424,0.113424,-8383.616531
0.057703,0.057703,-7951.251744
0.034373,0.034373,-7988.539243
0.164011,0.164011,-9049.475095
0.063840,0.063840,-7973.178766
0.025133,0.025133,-8098.682078
0.036852,0.036852,-7971.602131
0.082532,0.082532,-8087.823124
0.057085,0.057085,-7949.585652
0.139017,0.139017,-8697.028481
