# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.017339,0.017339,-10574.282632, -10609.745692
2,0.097478,0.097478,-9263.482332, -9319.521671
2,0.180925,0.180925,-9731.549637, -9807.033126
2,0.087889,0.087889,-9243.980575, -9339.104857
2,0.137867,0.137867,-9356.125375, -9456.750205
2,0.034052,0.034052,-9739.975754, -9743.887777
2,0.049352,0.049352,-9417.287440, -9576.939162
2,0.084700,0.084700,-9238.965240, -9262.718422
2,0.062761,0.062761,-9286.176116, -9290.785177
2,0.128775,0.128775,-9308.972753, -9364.253182
2,0.165286,0.165286,-9569.259508, -9635.523116
2,0.071619,0.071619,-9247.422761, -9252.026383
2,0.152644,0.152644,-9458.768451, -9490.424304
2,0.056032,0.056032,-9339.082387, -9441.388464
2,0.080617,0.080617,-9236.298035, -9268.051241
2,0.007113,0.007113,-11939.163388, -12061.134812
2,0.028923,0.028923,-9917.592364, -10056.205998
2,0.022487,0.022487,-10224.218267, -10313.736382
2,0.115387,0.115387,-9265.090622, -9288.711574
2,0.125530,0.125530,-9295.400119, -9299.309625
2,0.011076,0.011076,-11235.884339, -11308.539547
2,0.111719,0.111719,-9259.002157, -9371.600333
2,0.150630,0.150630,-9443.024543, -9495.577410
2,0.100825,0.100825,-9258.094432, -9292.474845
2,0.092336,0.092336,-9254.901639, -9259.506705
2,0.126857,0.126857,-9300.733674, -9409.118038
2,0.076499,0.076499,-9238.282717, -9324.351353
2,0.121511,0.121511,-9281.126719, -9292.777528
2,0.184918,0.184918,-9777.170724, -9868.619255
2,0.170978,0.170978,-9625.204874, -9674.664708
2,0.147548,0.147548,-9419.966238, -9483.218301
2,0.174708,0.174708,-9663.832531, -9681.959778
3,0.017339,0.017339,-9469.544214, -9897.085137
3,0.097478,0.097478,-8887.627743, -9064.836099
3,0.180925,0.180925,-9779.072971, -9899.766513
3,0.087889,0.087889,-9088.491129, -9193.109315
3,0.137867,0.137867,-9328.034373, -9438.997125
3,0.034052,0.034052,-8947.580034, -9336.903008
3,0.049352,0.049352,-8780.024287, -9094.587464
3,0.084700,0.084700,-8804.749309, -9088.746816
3,0.062761,0.062761,-8742.435505, -9091.610056
3,0.128775,0.128775,-9184.899012, -9397.368057
3,0.165286,0.165286,-9590.898781, -9704.602909
3,0.071619,0.071619,-8752.813692, -9093.257664
3,0.152644,0.152644,-9455.056093, -9523.073107
3,0.056032,0.056032,-8751.891459, -9130.323175
3,0.080617,0.080617,-8784.514440, -8980.961966
3,0.007113,0.007113,-10380.181539, -11052.968219
3,0.028923,0.028923,-9158.546197, -9634.455545
3,0.022487,0.022487,-9243.880328, -9669.719320
3,0.115387,0.115387,-9043.962209, -9190.149348
3,0.125530,0.125530,-9236.485168, -9352.802569
3,0.011076,0.011076,-9907.161466, -10384.479438
3,0.111719,0.111719,-9008.685877, -9269.797237
3,0.150630,0.150630,-9445.016926, -9601.075338
3,0.100825,0.100825,-8913.623014, -9226.765942
3,0.092336,0.092336,-8850.989757, -9089.017774
3,0.126857,0.126857,-9163.612525, -9372.607865
3,0.076499,0.076499,-8767.661983, -9027.611191
3,0.121511,0.121511,-9329.250222, -9371.534679
3,0.184918,0.184918,-9830.449290, -9919.955634
3,0.170978,0.170978,-9656.906599, -9877.989898
3,0.147548,0.147548,-9404.723209, -9520.926434
3,0.174708,0.174708,-9701.723062, -9787.739897
4,0.017339,0.017339,-8948.239257, -9452.598189
4,0.097478,0.097478,-8887.880307, -9355.588974
4,0.180925,0.180925,-9951.639737, -10085.723644
4,0.087889,0.087889,-8843.261428, -9179.797822
4,0.137867,0.137867,-9374.896244, -9502.142223
4,0.034052,0.034052,-8823.395146, -9250.119533
4,0.049352,0.049352,-9010.632729, -9309.513288
4,0.084700,0.084700,-8774.768503, -9085.133955
4,0.062761,0.062761,-8568.623690, -8857.467640
4,0.128775,0.128775,-9285.578027, -9500.446498
4,0.165286,0.165286,-9683.678150, -9856.572243
4,0.071619,0.071619,-8613.056633, -8904.632856
4,0.152644,0.152644,-9525.512924, -9688.513742
4,0.056032,0.056032,-8548.280718, -8881.656505
4,0.080617,0.080617,-8791.075705, -9269.467311
4,0.007113,0.007113,-9679.437834, -10629.695258
4,0.028923,0.028923,-8670.729890, -9368.520905
4,0.022487,0.022487,-8793.123545, -9395.984728
4,0.115387,0.115387,-9078.766287, -9388.063657
4,0.125530,0.125530,-9210.472345, -9534.556298
4,0.011076,0.011076,-9448.612939, -10074.328752
4,0.111719,0.111719,-9006.426952, -9350.910408
4,0.150630,0.150630,-9505.335681, -9676.955741
4,0.100825,0.100825,-8933.145282, -9250.316622
4,0.092336,0.092336,-8833.898170, -9129.433022
4,0.126857,0.126857,-9352.228172, -9492.004624
4,0.076499,0.076499,-8779.176459, -9026.051205
4,0.121511,0.121511,-9122.650909, -9307.065323
4,0.184918,0.184918,-9973.239850, -10101.041706
4,0.170978,0.170978,-9757.416633, -9914.212108
4,0.147548,0.147548,-9573.294026, -9687.820313
4,0.174708,0.174708,-9818.187787, -9923.695544
5,0.017339,0.017339,-8978.842305, -9701.101203
5,0.097478,0.097478,-8983.138352, -9258.854812
5,0.180925,0.180925,-10049.050597, -10159.147082
5,0.087889,0.087889,-8912.911023, -9432.679058
5,0.137867,0.137867,-9455.832770, -9677.192291
5,0.034052,0.034052,-8772.890282, -9216.118429
5,0.049352,0.049352,-8753.322691, -9285.667801
5,0.084700,0.084700,-8829.413342, -9158.420686
5,0.062761,0.062761,-8680.008370, -9025.722183
5,0.128775,0.128775,-9340.544976, -9589.624600
5,0.165286,0.165286,-9861.544056, -9996.852482
5,0.071619,0.071619,-8731.719226, -9189.552932
5,0.152644,0.152644,-9686.145019, -9895.806750
5,0.056032,0.056032,-9122.455898, -9413.311308
5,0.080617,0.080617,-8878.752105, -9303.533822
5,0.007113,0.007113,-9643.181479, -10457.411649
5,0.028923,0.028923,-8731.252577, -9385.571942
5,0.022487,0.022487,-8859.100721, -9595.253174
5,0.115387,0.115387,-9178.987903, -9365.554994
5,0.125530,0.125530,-9373.189806, -9614.715935
5,0.011076,0.011076,-9394.866071, -10236.797647
5,0.111719,0.111719,-9123.551923, -9438.112481
5,0.150630,0.150630,-9758.627068, -9969.365155
5,0.100825,0.100825,-9007.225945, -9349.734902
5,0.092336,0.092336,-8901.317870, -9206.572406
5,0.126857,0.126857,-9521.098297, -9629.038202
5,0.076499,0.076499,-8933.369084, -9378.532180
5,0.121511,0.121511,-9415.536453, -9588.249895
5,0.184918,0.184918,-10137.868235, -10271.241956
5,0.170978,0.170978,-9928.395582, -10054.327342
5,0.147548,0.147548,-9668.371390, -9839.911200
5,0.174708,0.174708,-9966.401511, -10060.257769
6,0.017339,0.017339,-9379.762207, -9917.129308
6,0.097478,0.097478,-9129.474987, -9371.167256
6,0.180925,0.180925,-10220.642296, -10332.369993
6,0.087889,0.087889,-9040.794007, -9493.030250
6,0.137867,0.137867,-9687.700181, -9840.609937
6,0.034052,0.034052,-9030.117532, -9955.227297
6,0.049352,0.049352,-8812.540925, -9550.207477
6,0.084700,0.084700,-8999.759986, -9344.135522
6,0.062761,0.062761,-8904.012864, -9382.733252
6,0.128775,0.128775,-9508.223627, -9770.083487
6,0.165286,0.165286,-10003.434714, -10155.431869
6,0.071619,0.071619,-8926.407897, -9544.370516
