# FBP,BGP,LogLik
0.084061,0.084061,-9730.759619
0.147086,0.147086,-10407.867414
0.163596,0.163596,-10629.574696
0.145454,0.145454,-10386.692177
0.162620,0.162620,-10616.111723
0.149037,0.149037,-10433.371351
0.029930,0.029930,-9740.792463
0.154481,0.154481,-10505.545257
0.038137,0.038137,-9647.756208
0.019844,0.019844,-9975.567542
0.180329,0.180329,-10866.677939
0.119647,0.119647,-10072.784820
0.035297,0.035297,-9673.056425
0.127242,0.127242,-10160.689632
0.066570,0.066570,-9626.760743
0.028309,0.028309,-9767.499179
0.159897,0.159897,-10578.786180
0.021997,0.021997,-9909.200011
0.192491,0.192491,-11045.931483
0.154387,0.154387,-10504.290462
0.142445,0.142445,-10348.017330
0.047830,0.047830,-9601.568578
0.151918,0.151918,-10471.388004
0.004510,0.004510,-11242.757017
0.110774,0.110774,-9975.685508
0.062147,0.062147,-9610.903510
0.166458,0.166458,-10669.300569
0.152264,0.152264,-10475.981315
0.097568,0.097568,-9844.418809
0.094471,0.094471,-9816.314254
0.014631,0.014631,-10195.119058
0.046934,0.046934,-9603.678829
