# FBP,BGP,LogLik
0.057723,0.057723,-8236.974671
0.089877,0.089877,-8448.913812
0.108565,0.108565,-8644.156530
0.030491,0.030491,-8328.186147
0.096195,0.096195,-8510.551660
0.055396,0.055396,-8231.067163
0.167386,0.167386,-9442.030452
0.069413,0.069413,-8289.656429
0.016337,0.016337,-8672.747215
0.002017,0.002017,-10496.899714
0.172109,0.172109,-9514.901282
0.171769,0.171769,-9509.624356
0.186818,0.186818,-9748.850750
0.014509,0.014509,-8755.786850
0.078952,0.078952,-8355.168659
0.085639,0.085639,-8410.469283
0.172177,0.172177,-9515.959659
0.052284,0.052284,-8226.030814
0.060441,0.060441,-8245.988136
0.146545,0.146545,-9134.386687
0.036010,0.036010,-8271.921416
0.127075,0.127075,-8870.067318
0.148442,0.148442,-9161.387385
0.036091,0.036091,-8271.300217
0.044389,0.044389,-8230.710234
0.139962,0.139962,-9042.308694
0.158901,0.158901,-9313.945592
0.190671,0.190671,-9811.827852
0.061730,0.061730,-8251.003873
0.109727,0.109727,-8657.481546
0.029363,0.029363,-8343.449767
0.087379,0.087379,-8425.956232
