# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.175828,0.175828,-12492.240783, -12547.221142
2,0.012788,0.012788,-18203.531462, -18366.100816
2,0.146679,0.146679,-12507.580481, -12654.205798
2,0.198922,0.198922,-12561.831986, -12641.740327
2,0.100238,0.100238,-12880.297729, -12947.424867
2,0.041867,0.041867,-14741.069776, -14865.759666
2,0.118929,0.118929,-12859.134753, -12863.666033
2,0.124830,0.124830,-12617.078419, -12695.526098
2,0.133615,0.133615,-12561.161378, -12690.339519
2,0.034522,0.034522,-15258.448256, -15398.667299
2,0.179743,0.179743,-12631.323797, -12659.479519
2,0.124198,0.124198,-12809.390443, -12847.743021
2,0.008714,0.008714,-19600.242420, -19650.672492
2,0.136808,0.136808,-12544.966934, -12661.916852
2,0.039217,0.039217,-14913.554766, -15016.384941
2,0.005468,0.005468,-20909.423272, -21051.566631
2,0.110191,0.110191,-12752.426327, -12803.244857
2,0.162663,0.162663,-12483.206082, -12558.863803
2,0.171988,0.171988,-12625.710283, -12641.087790
2,0.020704,0.020704,-16729.871096, -16947.892430
2,0.132609,0.132609,-12744.337643, -12782.312207
2,0.142015,0.142015,-12690.274040, -12705.931540
2,0.058903,0.058903,-13899.959193, -13967.332330
2,0.194273,0.194273,-12542.804489, -12628.782422
2,0.055737,0.055737,-14028.337828, -14099.957534
2,0.013996,0.013996,-18106.325666, -18133.605119
2,0.103856,0.103856,-12830.045036, -12962.767150
2,0.138863,0.138863,-12706.336914, -12710.853892
2,0.048932,0.048932,-14343.445011, -14515.657838
2,0.067716,0.067716,-13591.878896, -13725.542612
2,0.112726,0.112726,-12724.802215, -12827.186867
2,0.177336,0.177336,-12494.786534, -12531.525507
3,0.175828,0.175828,-12332.089525, -12457.834443
3,0.012788,0.012788,-16346.613102, -16642.096473
3,0.146679,0.146679,-12270.322710, -12385.261841
3,0.198922,0.198922,-12495.326274, -12649.697177
3,0.100238,0.100238,-12445.038080, -12600.503464
3,0.041867,0.041867,-13823.477043, -14047.054057
3,0.118929,0.118929,-12360.355357, -12596.267670
3,0.124830,0.124830,-12346.870075, -12516.110099
3,0.133615,0.133615,-12276.568422, -12469.492068
3,0.034522,0.034522,-14144.300717, -14391.857399
3,0.179743,0.179743,-12344.032228, -12419.468681
3,0.124198,0.124198,-12361.764025, -12579.352370
3,0.008714,0.008714,-17481.864951, -17774.164793
3,0.136808,0.136808,-12328.188847, -12492.162459
3,0.039217,0.039217,-13895.247549, -14229.255510
3,0.005468,0.005468,-18656.388072, -18980.499190
3,0.110191,0.110191,-12426.775781, -12629.995207
3,0.162663,0.162663,-12296.809343, -12471.496691
3,0.171988,0.171988,-12322.238461, -12483.660050
3,0.020704,0.020704,-15268.007895, -15535.745971
3,0.132609,0.132609,-12278.227748, -12501.972343
3,0.142015,0.142015,-12269.423557, -12430.877708
3,0.058903,0.058903,-13183.852046, -13327.258550
3,0.194273,0.194273,-12404.078600, -12524.425117
3,0.055737,0.055737,-13271.588605, -13463.570682
3,0.013996,0.013996,-16132.704848, -16494.355254
3,0.103856,0.103856,-12449.377095, -12701.573221
3,0.138863,0.138863,-12270.738335, -12395.878751
3,0.048932,0.048932,-13515.164336, -13695.929728
3,0.067716,0.067716,-12948.747723, -13147.987720
3,0.112726,0.112726,-12554.370110, -12663.627105
3,0.177336,0.177336,-12367.477725, -12488.754870
4,0.175828,0.175828,-12142.862505, -12348.133445
4,0.012788,0.012788,-14771.625262, -15552.719428
4,0.146679,0.146679,-12212.035985, -12502.349288
4,0.198922,0.198922,-12312.191400, -12493.706205
4,0.100238,0.100238,-12036.453420, -12456.186212
4,0.041867,0.041867,-13068.135182, -13494.081784
4,0.118929,0.118929,-12129.763483, -12432.061475
4,0.124830,0.124830,-12144.555859, -12361.378955
4,0.133615,0.133615,-12042.160554, -12321.252279
4,0.034522,0.034522,-13126.609497, -13736.428762
4,0.179743,0.179743,-12168.359057, -12400.380402
4,0.124198,0.124198,-12037.381028, -12431.237573
4,0.008714,0.008714,-15516.553420, -16266.675345
4,0.136808,0.136808,-11976.512422, -12278.869835
4,0.039217,0.039217,-12934.601191, -13446.025657
4,0.005468,0.005468,-16590.126653, -17386.243021
4,0.110191,0.110191,-11984.885747, -12351.979614
4,0.162663,0.162663,-12125.617159, -12298.307706
4,0.171988,0.171988,-12174.754931, -12451.326723
4,0.020704,0.020704,-13985.891630, -14462.563539
4,0.132609,0.132609,-12052.796443, -12464.172669
4,0.142015,0.142015,-12103.115838, -12429.031489
4,0.058903,0.058903,-12516.803762, -12783.710540
4,0.194273,0.194273,-12340.743322, -12585.953998
4,0.055737,0.055737,-12519.653035, -12966.734500
4,0.013996,0.013996,-14714.776277, -15275.755805
4,0.103856,0.103856,-12007.125874, -12351.251195
4,0.138863,0.138863,-12018.938823, -12318.347307
4,0.048932,0.048932,-12631.211414, -13243.647317
4,0.067716,0.067716,-12321.896258, -12869.132285
4,0.112726,0.112726,-12070.940266, -12383.631060
4,0.177336,0.177336,-12304.986888, -12505.536501
5,0.175828,0.175828,-11995.888821, -12360.059426
5,0.012788,0.012788,-13285.561924, -14048.111027
5,0.146679,0.146679,-11801.473064, -12227.890470
5,0.198922,0.198922,-12392.306559, -12683.628920
5,0.100238,0.100238,-11948.401289, -12370.097940
5,0.041867,0.041867,-11904.670720, -13016.908167
5,0.118929,0.118929,-11777.239555, -12371.608253
5,0.124830,0.124830,-11753.147759, -12250.389330
5,0.133615,0.133615,-11727.874029, -12152.513040
5,0.034522,0.034522,-12592.500369, -13488.497633
5,0.179743,0.179743,-12157.211846, -12342.498898
5,0.124198,0.124198,-11859.081395, -12189.777491
5,0.008714,0.008714,-13836.246186, -15062.236389
5,0.136808,0.136808,-12138.133796, -12500.789819
5,0.039217,0.039217,-12244.054319, -12843.124768
5,0.005468,0.005468,-15062.585327, -16065.965150
5,0.110191,0.110191,-11792.079168, -12227.802674
5,0.162663,0.162663,-12006.940284, -12274.374693
5,0.171988,0.171988,-12134.699345, -12311.835847
5,0.020704,0.020704,-12690.708934, -13959.299783
5,0.132609,0.132609,-11835.959507, -12130.681954
5,0.142015,0.142015,-11947.268641, -12359.998048
5,0.058903,0.058903,-11943.388457, -12435.003808
5,0.194273,0.194273,-12240.933668, -12525.237961
5,0.055737,0.055737,-12063.442479, -12465.115986
5,0.013996,0.013996,-13160.749605, -14375.313163
5,0.103856,0.103856,-11752.718679, -12304.895034
5,0.138863,0.138863,-11919.827756, -12196.982386
5,0.048932,0.048932,-12252.109275, -13032.309829
5,0.067716,0.067716,-11786.321284, -12496.240195
5,0.112726,0.112726,-11697.108163, -12172.769346
5,0.177336,0.177336,-12219.255294, -12450.275116
6,0.175828,0.175828,-12268.590134, -12476.604136
6,0.012788,0.012788,-12359.916521, -13796.793114
6,0.146679,0.146679,-11757.737517, -12306.977878
6,0.198922,0.198922,-12398.280318, -12653.869393
6,0.100238,0.100238,-11398.028413, -12036.979829
6,0.041867,0.041867,-11375.713083, -12433.951746
6,0.118929,0.118929,-11561.945360, -12161.060034
6,0.124830,0.124830,-11622.044293, -12178.042182
6,0.133615,0.133615,-11614.743499, -12088.138260
6,0.034522,0.034522,-11606.687942, -12737.938912
6,0.179743,0.179743,-12170.880374, -12514.711944
6,0.124198,0.124198,-11748.919605, -12273.112184
6,0.008714,0.008714,-13810.686312, -15422.492654
6,0.136808,0.136808,-11946.461393, -12422.067824
6,0.039217,0.039217,-11540.490539, -12712.619567
6,0.005468,0.005468,-13682.373531, -16134.012677
6,0.110191,0.110191,-11451.143948, -12095.067696
6,0.162663,0.162663,-12069.418285, -12368.870033
6,0.171988,0.171988,-11937.893620, -12333.695595
6,0.020704,0.020704,-12074.681737, -13550.610428
6,0.132609,0.132609,-11731.192047, -12075.278557
6,0.142015,0.142015,-11799.527321, -12313.805985
6,0.058903,0.058903,-11358.605190, -12493.658095
6,0.194273,0.194273,-12314.692169, -12579.410327
6,0.055737,0.055737,-11797.502678, -12705.854806
6,0.013996,0.013996,-12490.864343, -13535.468913
