FBP, BGP
0.194385, 0.194385
0.192701, 0.192701
0.16104, 0.16104
0.145043, 0.145043
0.15126, 0.15126
0.143538, 0.143538
0.119088, 0.119088
0.10844, 0.10844
0.10844, 0.10844
0.106124, 0.106124
0.106124, 0.106124
0.0911212, 0.0911212
0.0911212, 0.0911212
0.0911212, 0.0911212
0.0812962, 0.0812962
0.0908918, 0.0908918
0.0908918, 0.0908918
0.105161, 0.105161
0.105161, 0.105161
0.111187, 0.111187
0.111187, 0.111187
0.0947106, 0.0947106
0.0878169, 0.0878169
0.0878169, 0.0878169
0.0878169, 0.0878169
0.0654505, 0.0654505
0.0625762, 0.0625762
0.0624202, 0.0624202
0.0624202, 0.0624202
0.0624202, 0.0624202
0.0739282, 0.0739282
0.0750914, 0.0750914
0.0750914, 0.0750914
0.0702487, 0.0702487
0.0571589, 0.0571589
0.0571589, 0.0571589
0.0712222, 0.0712222
0.0712222, 0.0712222
0.0712222, 0.0712222
0.0920331, 0.0920331
0.0920331, 0.0920331
0.0882117, 0.0882117
0.07888, 0.07888
0.07888, 0.07888
0.07888, 0.07888
0.0574543, 0.0574543
0.0574543, 0.0574543
0.0766318, 0.0766318
0.0695941, 0.0695941
0.0685908, 0.0685908
0.0613957, 0.0613957
0.0613957, 0.0613957
0.0806136, 0.0806136
0.0658958, 0.0658958
0.0658958, 0.0658958
0.0658958, 0.0658958
0.0649158, 0.0649158
0.0649158, 0.0649158
0.0649158, 0.0649158
0.0647724, 0.0647724
0.055871, 0.055871
0.055871, 0.055871
0.0581422, 0.0581422
0.0549869, 0.0549869
0.0495959, 0.0495959
0.0559593, 0.0559593
0.0559593, 0.0559593
0.0620763, 0.0620763
0.0592699, 0.0592699
0.0455535, 0.0455535
0.0670834, 0.0670834
0.0670834, 0.0670834
0.048016, 0.048016
0.048016, 0.048016
0.0748111, 0.0748111
0.0759025, 0.0759025
0.0759025, 0.0759025
0.080657, 0.080657
0.080657, 0.080657
0.0817287, 0.0817287
0.0542544, 0.0542544
0.0542544, 0.0542544
0.0542544, 0.0542544
0.0542544, 0.0542544
0.0466328, 0.0466328
0.0365703, 0.0365703
0.0365703, 0.0365703
0.0365703, 0.0365703
0.0352877, 0.0352877
0.0352877, 0.0352877
0.0208573, 0.0208573
0.0208573, 0.0208573
0.0208573, 0.0208573
0.0208573, 0.0208573
0.0208573, 0.0208573
0.0348384, 0.0348384
0.0358587, 0.0358587
0.0358587, 0.0358587
0.0358587, 0.0358587
0.0358587, 0.0358587
0.0488548, 0.0488548
0.0358429, 0.0358429
0.0358429, 0.0358429
0.0358429, 0.0358429
0.0509755, 0.0509755
0.0491401, 0.0491401
0.0491401, 0.0491401
0.0394869, 0.0394869
0.0495027, 0.0495027
0.0495027, 0.0495027
0.0445561, 0.0445561
0.0443972, 0.0443972
0.0386648, 0.0386648
0.0386648, 0.0386648
0.0386648, 0.0386648
0.0488745, 0.0488745
0.0460613, 0.0460613
0.0508231, 0.0508231
0.043591, 0.043591
0.043591, 0.043591
0.0313365, 0.0313365
0.032484, 0.032484
0.032484, 0.032484
0.032484, 0.032484
0.032484, 0.032484
0.032484, 0.032484
0.0372316, 0.0372316
0.0363677, 0.0363677
0.0363677, 0.0363677
0.0363677, 0.0363677
0.0363677, 0.0363677
0.0363677, 0.0363677
0.0363677, 0.0363677
0.0206488, 0.0206488
0.0200013, 0.0200013
0.0200013, 0.0200013
0.0175077, 0.0175077
0.0588144, 0.0588144
0.0588144, 0.0588144
0.0366068, 0.0366068
0.0366068, 0.0366068
0.0186425, 0.0186425
0.0186425, 0.0186425
0.0186425, 0.0186425
0.0186425, 0.0186425
0.0186425, 0.0186425
0.0186425, 0.0186425
0.0150753, 0.0150753
0.0150753, 0.0150753
0.0150753, 0.0150753
0.0150753, 0.0150753
0.019867, 0.019867
0.019867, 0.019867
0.019867, 0.019867
0.019867, 0.019867
0.0366564, 0.0366564
0.0225466, 0.0225466
0.0225466, 0.0225466
0.0324707, 0.0324707
0.0324707, 0.0324707
0.0578485, 0.0578485
0.0578485, 0.0578485
0.0578485, 0.0578485
0.0578485, 0.0578485
0.0459997, 0.0459997
0.0459997, 0.0459997
0.0438894, 0.0438894
0.0438894, 0.0438894
0.00638632, 0.00638632
0.00638632, 0.00638632
0.00638632, 0.00638632
0.0303218, 0.0303218
0.0446952, 0.0446952
0.0446952, 0.0446952
0.0244575, 0.0244575
0.0296279, 0.0296279
0.0296279, 0.0296279
0.0259045, 0.0259045
0.0109662, 0.0109662
0.0146598, 0.0146598
0.0146598, 0.0146598
0.0146598, 0.0146598
0.0146598, 0.0146598
0.0337697, 0.0337697
0.0337697, 0.0337697
0.0408385, 0.0408385
0.0241587, 0.0241587
0.0241587, 0.0241587
0.0241587, 0.0241587
0.0233506, 0.0233506
0.0248172, 0.0248172
0.0248172, 0.0248172
0.0239072, 0.0239072
0.0239072, 0.0239072
0.0334477, 0.0334477
0.00759205, 0.00759205
0.00759205, 0.00759205
0.0179981, 0.0179981
0.0179981, 0.0179981
0.0179981, 0.0179981
0.0487613, 0.0487613
0.0188569, 0.0188569
0.0142832, 0.0142832
0.0142832, 0.0142832
0.024375, 0.024375
0.0134333, 0.0134333
0.0134333, 0.0134333
0.0134333, 0.0134333
0.0134333, 0.0134333
0.0134333, 0.0134333
0.0134333, 0.0134333
0.0134333, 0.0134333
0.0229593, 0.0229593
0.0229593, 0.0229593
0.0229593, 0.0229593
0.0171118, 0.0171118
0.0171118, 0.0171118
0.0171118, 0.0171118
0.0155392, 0.0155392
0.0155392, 0.0155392
0.011199, 0.011199
0.0197719, 0.0197719
0.0197719, 0.0197719
0.0197719, 0.0197719
0.0197719, 0.0197719
0.0197719, 0.0197719
0.0206276, 0.0206276
0.0202763, 0.0202763
0.0202763, 0.0202763
0.0202763, 0.0202763
0.0202763, 0.0202763
0.0172991, 0.0172991
0.0172991, 0.0172991
0.0172991, 0.0172991
0.0172991, 0.0172991
0.0172991, 0.0172991
0.0131647, 0.0131647
0.0131647, 0.0131647
0.0131647, 0.0131647
0.0131647, 0.0131647
0.000760193, 0.000760193
0.0111958, 0.0111958
0.0111958, 0.0111958
0.0111958, 0.0111958
0.0111958, 0.0111958
0.0111958, 0.0111958
0.00964493, 0.00964493
0.00964493, 0.00964493
0.00964493, 0.00964493
0.0239122, 0.0239122
0.0239122, 0.0239122
0.0239122, 0.0239122
0.0239122, 0.0239122
0.0263991, 0.0263991
0.0263991, 0.0263991
0.0263991, 0.0263991
0.0231187, 0.0231187
0.0231187, 0.0231187
0.0251863, 0.0251863
0.0215294, 0.0215294
0.0215294, 0.0215294
0.0139153, 0.0139153
0.0139153, 0.0139153
0.0139153, 0.0139153
0.0139153, 0.0139153
0.0251596, 0.0251596
0.0251596, 0.0251596
0.0297061, 0.0297061
0.0297061, 0.0297061
0.0161869, 0.0161869
0.0161869, 0.0161869
0.0133383, 0.0133383
0.0219174, 0.0219174
0.0257315, 0.0257315
0.0257315, 0.0257315
0.0257315, 0.0257315
0.0257315, 0.0257315
0.0257315, 0.0257315
0.0257315, 0.0257315
0.0319633, 0.0319633
0.0319633, 0.0319633
0.0166316, 0.0166316
0.0166316, 0.0166316
0.00993502, 0.00993502
0.00993502, 0.00993502
0.00993502, 0.00993502
0.00993502, 0.00993502
0.00993502, 0.00993502
0.00853037, 0.00853037
0.0191004, 0.0191004
0.0191004, 0.0191004
0.0179812, 0.0179812
0.0179812, 0.0179812
0.0199004, 0.0199004
0.0199004, 0.0199004
0.0180549, 0.0180549
0.0180549, 0.0180549
0.0180549, 0.0180549
0.0180549, 0.0180549
0.0180549, 0.0180549
0.0341545, 0.0341545
0.0433944, 0.0433944
0.0433944, 0.0433944
0.0530768, 0.0530768
0.0239888, 0.0239888
0.0239888, 0.0239888
0.0239888, 0.0239888
0.0193792, 0.0193792
0.027993, 0.027993
0.027993, 0.027993
0.027993, 0.027993
0.0236455, 0.0236455
0.0236455, 0.0236455
0.0236455, 0.0236455
0.0236455, 0.0236455
0.0236455, 0.0236455
0.0312804, 0.0312804
0.0311307, 0.0311307
0.0336134, 0.0336134
0.0274712, 0.0274712
0.0274712, 0.0274712
0.0274712, 0.0274712
0.0246903, 0.0246903
0.0253581, 0.0253581
0.0146566, 0.0146566
0.0146566, 0.0146566
0.0146566, 0.0146566
0.0146566, 0.0146566
0.0146566, 0.0146566
0.0146566, 0.0146566
0.0202536, 0.0202536
0.0202536, 0.0202536
0.0202536, 0.0202536
0.0202536, 0.0202536
0.0202536, 0.0202536
0.0202536, 0.0202536
0.0202536, 0.0202536
0.0123811, 0.0123811
0.0242395, 0.0242395
0.0272095, 0.0272095
0.0272095, 0.0272095
0.0347624, 0.0347624
0.0240262, 0.0240262
0.0253456, 0.0253456
0.0255705, 0.0255705
0.0255705, 0.0255705
0.0255705, 0.0255705
0.036102, 0.036102
0.036102, 0.036102
0.0254252, 0.0254252
0.0169182, 0.0169182
0.023356, 0.023356
0.023356, 0.023356
0.023356, 0.023356
0.023356, 0.023356
0.023356, 0.023356
0.023356, 0.023356
0.023356, 0.023356
0.0206081, 0.0206081
0.0206081, 0.0206081
0.0490879, 0.0490879
0.0490879, 0.0490879
0.0367714, 0.0367714
0.0367714, 0.0367714
0.0367714, 0.0367714
0.0135558, 0.0135558
0.0179303, 0.0179303
0.0179303, 0.0179303
0.0179303, 0.0179303
0.0185708, 0.0185708
0.0185708, 0.0185708
0.0185708, 0.0185708
0.0124621, 0.0124621
0.0124621, 0.0124621
0.0124621, 0.0124621
0.0239278, 0.0239278
0.0239278, 0.0239278
0.0217729, 0.0217729
0.0233082, 0.0233082
0.0323185, 0.0323185
0.0267753, 0.0267753
0.0233731, 0.0233731
0.0233731, 0.0233731
0.015406, 0.015406
0.0258314, 0.0258314
0.0258314, 0.0258314
0.0258314, 0.0258314
0.0258314, 0.0258314
0.0153217, 0.0153217
0.0153217, 0.0153217
0.0153217, 0.0153217
0.0153217, 0.0153217
0.0153217, 0.0153217
0.0205728, 0.0205728
0.0205728, 0.0205728
0.0205728, 0.0205728
0.0238677, 0.0238677
0.0179238, 0.0179238
0.015721, 0.015721
0.0167426, 0.0167426
0.0167426, 0.0167426
0.0237316, 0.0237316
0.0237316, 0.0237316
0.0202662, 0.0202662
0.0182416, 0.0182416
0.0182416, 0.0182416
0.01703, 0.01703
0.0234395, 0.0234395
0.0234395, 0.0234395
0.0113472, 0.0113472
0.0280386, 0.0280386
0.0280386, 0.0280386
0.0128983, 0.0128983
0.0128983, 0.0128983
0.0128983, 0.0128983
0.00997322, 0.00997322
0.00997322, 0.00997322
0.00997322, 0.00997322
0.00997322, 0.00997322
0.0111706, 0.0111706
0.0145446, 0.0145446
0.0145446, 0.0145446
0.0142894, 0.0142894
0.0142894, 0.0142894
0.0135844, 0.0135844
0.0135844, 0.0135844
0.0228728, 0.0228728
0.0191986, 0.0191986
0.00581817, 0.00581817
0.00859207, 0.00859207
0.00859207, 0.00859207
0.00859207, 0.00859207
0.00859207, 0.00859207
0.013379, 0.013379
0.013379, 0.013379
0.014263, 0.014263
0.014263, 0.014263
0.014263, 0.014263
0.014263, 0.014263
0.014263, 0.014263
0.00508612, 0.00508612
0.00736014, 0.00736014
0.00736014, 0.00736014
0.00736014, 0.00736014
0.00736014, 0.00736014
0.00736014, 0.00736014
0.00736014, 0.00736014
0.00736014, 0.00736014
0.00736014, 0.00736014
0.00858706, 0.00858706
0.00912995, 0.00912995
0.00912995, 0.00912995
0.00912995, 0.00912995
0.00993171, 0.00993171
0.00993171, 0.00993171
0.00993171, 0.00993171
0.00993171, 0.00993171
0.00993171, 0.00993171
0.00993171, 0.00993171
0.0123391, 0.0123391
0.0123391, 0.0123391
0.0159198, 0.0159198
0.0159198, 0.0159198
0.00574439, 0.00574439
0.00574439, 0.00574439
0.0125244, 0.0125244
0.0185221, 0.0185221
0.0157876, 0.0157876
0.0169605, 0.0169605
0.0169605, 0.0169605
0.0169605, 0.0169605
0.0138552, 0.0138552
0.0138552, 0.0138552
0.0138552, 0.0138552
0.0175862, 0.0175862
0.0192077, 0.0192077
0.0273438, 0.0273438
0.0273438, 0.0273438
0.0227683, 0.0227683
0.0227683, 0.0227683
0.0227683, 0.0227683
0.0227683, 0.0227683
0.0227683, 0.0227683
0.0152067, 0.0152067
0.0126724, 0.0126724
0.0140105, 0.0140105
0.0140105, 0.0140105
0.0133964, 0.0133964
0.00652385, 0.00652385
0.00652385, 0.00652385
0.00652385, 0.00652385
0.00652385, 0.00652385
0.00652385, 0.00652385
0.0117388, 0.0117388
0.0117388, 0.0117388
0.0103227, 0.0103227
0.0157375, 0.0157375
0.0157375, 0.0157375
0.0157375, 0.0157375
0.0157375, 0.0157375
0.0105639, 0.0105639
0.0105639, 0.0105639
0.0105639, 0.0105639
0.0105639, 0.0105639
0.0105639, 0.0105639
0.0105639, 0.0105639
0.0105639, 0.0105639
0.0222141, 0.0222141
0.00622086, 0.00622086
0.00622086, 0.00622086
0.00622086, 0.00622086
0.00622086, 0.00622086
0.00622086, 0.00622086
0.00622086, 0.00622086
0.00622086, 0.00622086
0.00938338, 0.00938338
0.00938338, 0.00938338
0.0151579, 0.0151579
0.0151579, 0.0151579
0.0165726, 0.0165726
0.0114984, 0.0114984
0.0114984, 0.0114984
0.0114984, 0.0114984
0.0114984, 0.0114984
0.0114984, 0.0114984
0.0114984, 0.0114984
0.0200745, 0.0200745
0.0200745, 0.0200745
0.019761, 0.019761
0.019761, 0.019761
0.019761, 0.019761
0.0118588, 0.0118588
0.0118588, 0.0118588
0.0118588, 0.0118588
0.0118588, 0.0118588
0.0118588, 0.0118588
0.0118588, 0.0118588
0.0118588, 0.0118588
0.0118588, 0.0118588
0.0118588, 0.0118588
0.0137673, 0.0137673
0.0154828, 0.0154828
0.0154828, 0.0154828
0.0154828, 0.0154828
0.00732054, 0.00732054
0.00732054, 0.00732054
0.00732054, 0.00732054
0.00732054, 0.00732054
0.00732054, 0.00732054
0.00732054, 0.00732054
0.00732054, 0.00732054
0.00732054, 0.00732054
0.016443, 0.016443
0.016443, 0.016443
0.0118699, 0.0118699
0.0221066, 0.0221066
0.0221066, 0.0221066
0.0221066, 0.0221066
0.0221066, 0.0221066
0.0221066, 0.0221066
0.0301979, 0.0301979
0.0301979, 0.0301979
0.0301979, 0.0301979
0.0205983, 0.0205983
0.0205983, 0.0205983
0.0205983, 0.0205983
0.0234821, 0.0234821
0.0271617, 0.0271617
0.0271617, 0.0271617
0.0271617, 0.0271617
0.0280686, 0.0280686
0.0280686, 0.0280686
0.0162518, 0.0162518
0.0127441, 0.0127441
0.0112427, 0.0112427
0.0112427, 0.0112427
0.0112427, 0.0112427
0.0119237, 0.0119237
0.0119237, 0.0119237
0.0119237, 0.0119237
0.00550343, 0.00550343
0.00870995, 0.00870995
0.00870995, 0.00870995
0.00870995, 0.00870995
0.0164605, 0.0164605
0.0164605, 0.0164605
0.0164605, 0.0164605
0.0164605, 0.0164605
0.0243873, 0.0243873
0.0243873, 0.0243873
0.023279, 0.023279
0.023279, 0.023279
0.023279, 0.023279
0.0326649, 0.0326649
0.0326649, 0.0326649
0.00240111, 0.00240111
0.0195946, 0.0195946
0.0104609, 0.0104609
0.0104609, 0.0104609
0.0104609, 0.0104609
0.0104609, 0.0104609
0.0104609, 0.0104609
0.0104609, 0.0104609
0.0178601, 0.0178601
0.0178601, 0.0178601
0.0178601, 0.0178601
0.0178601, 0.0178601
0.0178601, 0.0178601
0.0178601, 0.0178601
0.0178601, 0.0178601
0.0167371, 0.0167371
0.0167371, 0.0167371
0.0167371, 0.0167371
0.0167371, 0.0167371
0.00907523, 0.00907523
0.00907523, 0.00907523
0.00907523, 0.00907523
0.0127316, 0.0127316
0.0127316, 0.0127316
0.0127316, 0.0127316
0.0124957, 0.0124957
0.0144245, 0.0144245
0.0139112, 0.0139112
0.0101281, 0.0101281
0.0101281, 0.0101281
0.0134376, 0.0134376
0.0134376, 0.0134376
0.0194294, 0.0194294
0.0194294, 0.0194294
0.0194294, 0.0194294
0.0194294, 0.0194294
0.0194294, 0.0194294
0.0194294, 0.0194294
0.00689722, 0.00689722
0.00657501, 0.00657501
0.00728367, 0.00728367
0.00728367, 0.00728367
0.00728367, 0.00728367
0.00797719, 0.00797719
0.0115809, 0.0115809
0.0115809, 0.0115809
0.0115809, 0.0115809
0.0146764, 0.0146764
0.0152902, 0.0152902
0.0152902, 0.0152902
0.0245082, 0.0245082
0.0245082, 0.0245082
0.0234444, 0.0234444
0.0234444, 0.0234444
0.0316092, 0.0316092
0.0316092, 0.0316092
0.0316092, 0.0316092
0.0316092, 0.0316092
0.0330458, 0.0330458
0.0330458, 0.0330458
0.0330458, 0.0330458
0.0150736, 0.0150736
0.0150736, 0.0150736
0.0150736, 0.0150736
0.0150736, 0.0150736
