# FBP,BGP,LogLik
0.089472,0.089472,-9902.877063
0.174659,0.174659,-10890.423811
0.070271,0.070271,-9764.165290
0.013032,0.013032,-10281.397948
0.088535,0.088535,-9894.922423
0.199692,0.199692,-11241.273375
0.075955,0.075955,-9799.313420
0.038611,0.038611,-9727.088326
0.009026,0.009026,-10559.840426
0.034194,0.034194,-9758.603647
0.064813,0.064813,-9736.263099
0.114856,0.114856,-10150.986261
0.133118,0.133118,-10358.746212
0.008564,0.008564,-10601.872009
0.187236,0.187236,-11064.091851
0.047128,0.047128,-9700.180141
0.029812,0.029812,-9805.991987
0.106166,0.106166,-10059.795181
0.135517,0.135517,-10387.423714
0.061451,0.061451,-9722.381734
0.133888,0.133888,-10367.923924
0.058859,0.058859,-9713.624068
0.180434,0.180434,-10969.506791
0.176139,0.176139,-10910.579606
0.014239,0.014239,-10218.941110
0.030081,0.030081,-9802.546022
0.139612,0.139612,-10437.014113
0.000024,0.000024,-16141.657010
0.164363,0.164363,-10752.321172
0.071248,0.071248,-9769.789657
0.148924,0.148924,-10552.668178
0.008847,0.008847,-10575.762217
