# FBP,BGP,LogLik
0.137675,0.137675,-8791.969384
0.040861,0.040861,-8077.090422
0.094138,0.094138,-8314.158454
0.161793,0.161793,-9118.849751
0.135007,0.135007,-8758.293366
0.001206,0.001206,-10407.808926
0.017482,0.017482,-8390.689022
0.069359,0.069359,-8131.190452
0.188873,0.188873,-9530.907742
0.098238,0.098238,-8351.835597
0.054035,0.054035,-8071.967763
0.072085,0.072085,-8146.850163
0.042131,0.042131,-8073.437552
0.084240,0.084240,-8231.052768
0.043607,0.043607,-8070.170713
0.169151,0.169151,-9226.248793
0.091254,0.091254,-8288.757393
0.055960,0.055960,-8076.246688
0.186578,0.186578,-9494.229649
0.062870,0.062870,-8099.591537
0.181943,0.181943,-9421.119297
0.008684,0.008684,-8837.123976
0.141423,0.141423,-8840.144467
0.096778,0.096778,-8338.213394
0.088844,0.088844,-8268.259017
0.007265,0.007265,-8965.758578
0.008137,0.008137,-8883.502302
0.066551,0.066551,-8116.482690
0.189424,0.189424,-9539.758829
0.123532,0.123532,-8619.474942
0.073775,0.073775,-8157.203304
0.122395,0.122395,-8606.275998
