FBP, BGP
0.107984, 0.107984
0.107984, 0.107984
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.103601, 0.103601
0.100044, 0.100044
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100828, 0.100828
0.100158, 0.100158
0.100158, 0.100158
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.100652, 0.100652
0.0984165, 0.0984165
0.0984165, 0.0984165
0.0984165, 0.0984165
0.100369, 0.100369
0.100369, 0.100369
0.100369, 0.100369
0.100369, 0.100369
0.10183, 0.10183
0.10183, 0.10183
0.10183, 0.10183
0.10183, 0.10183
0.10183, 0.10183
0.10183, 0.10183
0.10183, 0.10183
0.10129, 0.10129
0.10129, 0.10129
0.10129, 0.10129
0.10129, 0.10129
0.10129, 0.10129
0.10129, 0.10129
0.10129, 0.10129
0.10129, 0.10129
0.10129, 0.10129
0.10129, 0.10129
0.100671, 0.100671
0.100671, 0.100671
0.100671, 0.100671
0.0967179, 0.0967179
0.0967179, 0.0967179
0.0967179, 0.0967179
0.0967179, 0.0967179
0.0967179, 0.0967179
0.0967179, 0.0967179
0.0967179, 0.0967179
0.0967179, 0.0967179
0.0967179, 0.0967179
0.0972829, 0.0972829
0.0972829, 0.0972829
0.0989193, 0.0989193
0.0989193, 0.0989193
0.0989193, 0.0989193
0.0989193, 0.0989193
0.0964895, 0.0964895
0.0964895, 0.0964895
0.0964895, 0.0964895
0.0963981, 0.0963981
0.0963981, 0.0963981
0.09997, 0.09997
0.09997, 0.09997
0.09997, 0.09997
0.09997, 0.09997
0.09997, 0.09997
0.09997, 0.09997
0.09997, 0.09997
0.0995737, 0.0995737
0.0995737, 0.0995737
0.0995737, 0.0995737
0.0984118, 0.0984118
0.0984118, 0.0984118
0.0981105, 0.0981105
0.0981105, 0.0981105
0.0981105, 0.0981105
0.0981105, 0.0981105
0.0981105, 0.0981105
0.0981105, 0.0981105
0.0981105, 0.0981105
0.0981105, 0.0981105
0.0981105, 0.0981105
0.0981105, 0.0981105
0.0981105, 0.0981105
0.0981105, 0.0981105
0.0981105, 0.0981105
0.100126, 0.100126
0.0996661, 0.0996661
0.0996661, 0.0996661
0.0996661, 0.0996661
0.0996661, 0.0996661
0.0996661, 0.0996661
0.0996661, 0.0996661
0.0996661, 0.0996661
0.0996661, 0.0996661
0.0996661, 0.0996661
0.0996661, 0.0996661
0.0996661, 0.0996661
0.0996661, 0.0996661
0.098799, 0.098799
0.098799, 0.098799
0.098799, 0.098799
0.098799, 0.098799
0.098799, 0.098799
0.098799, 0.098799
0.098799, 0.098799
0.098799, 0.098799
0.098799, 0.098799
0.099245, 0.099245
0.099245, 0.099245
0.099245, 0.099245
0.099245, 0.099245
0.099245, 0.099245
0.099245, 0.099245
0.099245, 0.099245
0.099245, 0.099245
0.099245, 0.099245
0.099245, 0.099245
0.099245, 0.099245
0.099245, 0.099245
0.099245, 0.099245
0.0981717, 0.0981717
0.0981717, 0.0981717
0.0981717, 0.0981717
0.0981717, 0.0981717
0.0981717, 0.0981717
0.0984952, 0.0984952
0.0984952, 0.0984952
0.0984952, 0.0984952
0.0984952, 0.0984952
0.0984952, 0.0984952
0.0984952, 0.0984952
