# FBP,BGP,LogLik
0.170717,0.170717,-9412.775951
0.032387,0.032387,-8273.896555
0.077730,0.077730,-8311.702799
0.110837,0.110837,-8609.081115
0.035588,0.035588,-8248.401169
0.140131,0.140131,-8967.753067
0.156261,0.156261,-9194.444733
0.126917,0.126917,-8796.788630
0.172362,0.172362,-9438.471173
0.026140,0.026140,-8349.240882
0.000659,0.000659,-11008.156336
0.053388,0.053388,-8207.888923
0.168007,0.168007,-9370.819200
0.025395,0.025395,-8361.059392
0.152768,0.152768,-9143.782761
0.185860,0.185860,-9655.578266
0.112154,0.112154,-8623.542278
0.176608,0.176608,-9505.580786
0.049621,0.049621,-8205.494487
0.144564,0.144564,-9028.174999
0.156027,0.156027,-9191.012984
0.097499,0.097499,-8472.965833
0.120551,0.120551,-8719.638488
0.017779,0.017779,-8532.868540
0.055267,0.055267,-8210.773080
0.015359,0.015359,-8615.129035
0.047888,0.047888,-8206.048845
0.178514,0.178514,-9536.069959
0.006169,0.006169,-9226.060371
0.099366,0.099366,-8490.830398
0.104533,0.104533,-8542.342171
0.057154,0.057154,-8214.709372
