# FBP,BGP,LogLik
0.087643,0.087643,-9490.105229
0.153019,0.153019,-10203.810367
0.113128,0.113128,-9732.628056
0.016981,0.016981,-9682.923791
0.116534,0.116534,-9769.142556
0.162969,0.162969,-10333.877340
0.067413,0.067413,-9352.495967
0.185515,0.185515,-10644.204847
0.150143,0.150143,-10167.047686
0.114813,0.114813,-9750.584063
0.150329,0.150329,-10169.406120
0.015830,0.015830,-9726.691377
0.171878,0.171878,-10453.981071
0.164301,0.164301,-10351.620712
0.181974,0.181974,-10594.084748
0.025726,0.025726,-9460.824164
0.016356,0.016356,-9706.108004
0.027683,0.027683,-9429.521604
0.079876,0.079876,-9429.958013
0.084861,0.084861,-9467.666482
0.112444,0.112444,-9725.387187
0.024449,0.024449,-9484.136170
0.040280,0.040280,-9318.604782
0.162329,0.162329,-10325.381442
0.093598,0.093598,-9541.175396
0.161588,0.161588,-10315.561945
0.001485,0.001485,-11670.901856
0.110319,0.110319,-9703.135176
0.186386,0.186386,-10656.612429
0.116435,0.116435,-9768.068327
0.041219,0.041219,-9314.921551
0.143552,0.143552,-10084.255215
