# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.129633,0.129633,-9492.980954, -9500.188199
2,0.171686,0.171686,-9912.015159, -9984.334903
2,0.170490,0.170490,-9896.091842, -9946.969761
2,0.191262,0.191262,-10185.548390, -10233.458121
2,0.139588,0.139588,-9520.075494, -9581.556391
2,0.161079,0.161079,-9774.161635, -9835.423566
2,0.146626,0.146626,-9599.279797, -9645.108244
2,0.121045,0.121045,-9332.738383, -9396.309619
2,0.143471,0.143471,-9563.264331, -9599.219252
2,0.143150,0.143150,-9559.648326, -9617.481120
2,0.008182,0.008182,-11051.551271, -11091.878898
2,0.103222,0.103222,-9187.718858, -9274.472053
2,0.158530,0.158530,-9801.614233, -9827.105317
2,0.048592,0.048592,-9126.649478, -9251.602762
2,0.093030,0.093030,-9124.319921, -9218.355416
2,0.086997,0.086997,-9094.729890, -9136.395133
2,0.080557,0.080557,-9071.029372, -9187.225655
2,0.024368,0.024368,-9580.615761, -9689.088678
2,0.105142,0.105142,-9201.404382, -9243.241993
2,0.089250,0.089250,-9104.967498, -9206.484686
2,0.132679,0.132679,-9446.454708, -9500.264439
2,0.109883,0.109883,-9237.310571, -9286.287644
2,0.005509,0.005509,-11154.433241, -11248.184542
2,0.006384,0.006384,-10981.735728, -11234.556170
2,0.140272,0.140272,-9598.623222, -9608.864796
2,0.141516,0.141516,-9541.361693, -9612.373481
2,0.191988,0.191988,-10196.100993, -10250.569514
2,0.175341,0.175341,-10011.231796, -10023.550913
2,0.093612,0.093612,-9127.509212, -9191.470702
2,0.125181,0.125181,-9451.894162, -9461.688136
2,0.091436,0.091436,-9115.793586, -9175.396204
2,0.044589,0.044589,-9164.565759, -9282.292780
3,0.129633,0.129633,-9491.440893, -9637.701507
3,0.171686,0.171686,-10056.202107, -10154.824159
3,0.170490,0.170490,-10021.875815, -10107.760087
3,0.191262,0.191262,-10316.141337, -10412.659299
3,0.139588,0.139588,-9635.826337, -9723.912489
3,0.161079,0.161079,-9897.225852, -9996.544687
3,0.146626,0.146626,-9706.648075, -9780.907369
3,0.121045,0.121045,-9389.665326, -9493.428181
3,0.143471,0.143471,-9665.412323, -9783.511141
3,0.143150,0.143150,-9810.268712, -9855.958642
3,0.008182,0.008182,-9779.738802, -10161.856650
3,0.103222,0.103222,-9235.343493, -9441.694272
3,0.158530,0.158530,-9864.398223, -9978.747450
3,0.048592,0.048592,-9064.026467, -9242.578803
3,0.093030,0.093030,-9098.789540, -9279.350409
3,0.086997,0.086997,-9151.268630, -9298.592422
3,0.080557,0.080557,-8995.976183, -9170.414291
3,0.024368,0.024368,-9365.142807, -9670.967289
3,0.105142,0.105142,-9215.833296, -9340.406665
3,0.089250,0.089250,-9065.526563, -9156.845333
3,0.132679,0.132679,-9557.690622, -9702.234353
3,0.109883,0.109883,-9301.529109, -9505.008995
3,0.005509,0.005509,-10101.006970, -10613.679398
3,0.006384,0.006384,-9979.051860, -10425.450925
3,0.140272,0.140272,-9624.176911, -9755.268532
3,0.141516,0.141516,-9640.146154, -9767.711601
3,0.191988,0.191988,-10341.423785, -10431.521517
3,0.175341,0.175341,-10114.096436, -10207.600480
3,0.093612,0.093612,-9104.062275, -9247.696068
3,0.125181,0.125181,-9438.051585, -9573.919893
3,0.091436,0.091436,-9084.562801, -9315.958479
3,0.044589,0.044589,-8869.492286, -9168.133553
4,0.129633,0.129633,-9810.292055, -9869.255374
4,0.171686,0.171686,-10225.613338, -10313.691888
4,0.170490,0.170490,-10213.671227, -10298.201312
4,0.191262,0.191262,-10508.820831, -10606.390184
4,0.139588,0.139588,-9969.037742, -10023.229984
4,0.161079,0.161079,-10083.101512, -10192.717068
4,0.146626,0.146626,-9906.108637, -10054.638397
4,0.121045,0.121045,-9566.994137, -9715.263419
4,0.143471,0.143471,-9873.538803, -10013.538269
4,0.143150,0.143150,-9915.109135, -10045.504396
4,0.008182,0.008182,-9903.231481, -10637.538058
4,0.103222,0.103222,-9570.009892, -9663.491918
4,0.158530,0.158530,-10118.318243, -10202.165417
4,0.048592,0.048592,-9225.275593, -9395.932296
4,0.093030,0.093030,-9376.363092, -9554.694654
4,0.086997,0.086997,-9206.098561, -9490.893148
4,0.080557,0.080557,-9162.919169, -9443.764005
4,0.024368,0.024368,-9444.513507, -9795.413899
4,0.105142,0.105142,-9443.626700, -9635.789090
4,0.089250,0.089250,-9356.115609, -9497.954762
4,0.132679,0.132679,-9767.981619, -9919.351790
4,0.109883,0.109883,-9426.028262, -9652.259392
4,0.005509,0.005509,-10552.148323, -10947.514935
4,0.006384,0.006384,-10102.349525, -10865.235394
4,0.140272,0.140272,-9803.280997, -9918.530206
4,0.141516,0.141516,-9810.831974, -9966.197082
4,0.191988,0.191988,-10520.997267, -10609.291581
4,0.175341,0.175341,-10279.491745, -10375.978670
4,0.093612,0.093612,-9304.810682, -9540.140585
4,0.125181,0.125181,-9614.567756, -9783.453733
4,0.091436,0.091436,-9245.992564, -9491.412849
4,0.044589,0.044589,-9016.748619, -9390.200711
5,0.129633,0.129633,-10022.094413, -10102.551442
5,0.171686,0.171686,-10415.746520, -10522.966581
5,0.170490,0.170490,-10420.080538, -10572.628858
5,0.191262,0.191262,-10767.887266, -10838.526942
5,0.139588,0.139588,-10011.394599, -10134.193642
5,0.161079,0.161079,-10348.303692, -10445.618221
5,0.146626,0.146626,-10077.449649, -10199.790182
5,0.121045,0.121045,-9755.509910, -9972.123383
5,0.143471,0.143471,-10168.303837, -10224.132085
5,0.143150,0.143150,-10111.327138, -10198.477359
5,0.008182,0.008182,-10494.708627, -11373.325221
5,0.103222,0.103222,-9642.607542, -9829.681878
5,0.158530,0.158530,-10228.068303, -10339.330194
5,0.048592,0.048592,-9431.137265, -9625.663953
5,0.093030,0.093030,-9609.756712, -9793.903653
5,0.086997,0.086997,-9421.531601, -9702.232165
5,0.080557,0.080557,-9626.354593, -9761.942986
5,0.024368,0.024368,-10078.813728, -10202.498270
5,0.105142,0.105142,-9576.273862, -9782.951733
5,0.089250,0.089250,-9697.264860, -9786.066864
5,0.132679,0.132679,-9931.682990, -10145.546805
5,0.109883,0.109883,-9685.051580, -9874.834474
5,0.005509,0.005509,-10637.028536, -11628.052401
5,0.006384,0.006384,-10472.149032, -10992.590704
5,0.140272,0.140272,-10036.935447, -10162.213535
5,0.141516,0.141516,-10102.052940, -10203.169629
5,0.191988,0.191988,-10813.843108, -10872.131029
5,0.175341,0.175341,-10514.892461, -10626.930062
5,0.093612,0.093612,-9557.068824, -9712.245133
5,0.125181,0.125181,-9800.351445, -9953.787581
5,0.091436,0.091436,-9634.977181, -9848.871930
5,0.044589,0.044589,-9361.162228, -9658.439008
6,0.129633,0.129633,-10063.418567, -10187.125628
6,0.171686,0.171686,-10587.468979, -10691.379352
