FBP, BGP
0.110927, 0.110927
0.125936, 0.125936
0.125936, 0.125936
0.125936, 0.125936
0.124563, 0.124563
0.124563, 0.124563
0.114977, 0.114977
0.114977, 0.114977
0.088911, 0.088911
0.111478, 0.111478
0.111478, 0.111478
0.111478, 0.111478
0.111478, 0.111478
0.0904519, 0.0904519
0.0877216, 0.0877216
0.0733778, 0.0733778
0.0743787, 0.0743787
0.0758981, 0.0758981
0.106291, 0.106291
0.103209, 0.103209
0.062591, 0.062591
0.062591, 0.062591
0.062591, 0.062591
0.062591, 0.062591
0.0536554, 0.0536554
0.0487346, 0.0487346
0.0507448, 0.0507448
0.0832593, 0.0832593
0.0709472, 0.0709472
0.0611672, 0.0611672
0.0585837, 0.0585837
0.0585837, 0.0585837
0.0585837, 0.0585837
0.0585837, 0.0585837
0.0585837, 0.0585837
0.0562065, 0.0562065
0.0556656, 0.0556656
0.0556656, 0.0556656
0.0738986, 0.0738986
0.0452512, 0.0452512
0.0573898, 0.0573898
0.0573898, 0.0573898
0.0474984, 0.0474984
0.0401487, 0.0401487
0.0444216, 0.0444216
0.0444216, 0.0444216
0.0585771, 0.0585771
0.0585771, 0.0585771
0.0557604, 0.0557604
0.0557604, 0.0557604
0.0558809, 0.0558809
0.0558809, 0.0558809
0.0558809, 0.0558809
0.0558809, 0.0558809
0.0558809, 0.0558809
0.0681086, 0.0681086
0.0681086, 0.0681086
0.0699475, 0.0699475
0.0776662, 0.0776662
0.0776662, 0.0776662
0.0965131, 0.0965131
0.0938426, 0.0938426
0.0755724, 0.0755724
0.0755724, 0.0755724
0.0649905, 0.0649905
0.0613213, 0.0613213
0.0536977, 0.0536977
0.0536977, 0.0536977
0.0598154, 0.0598154
0.0568509, 0.0568509
0.0568509, 0.0568509
0.0568509, 0.0568509
0.0564704, 0.0564704
0.0552551, 0.0552551
0.0618597, 0.0618597
0.0618597, 0.0618597
0.0593916, 0.0593916
0.0373844, 0.0373844
0.0373844, 0.0373844
0.0373844, 0.0373844
0.0432268, 0.0432268
0.0465443, 0.0465443
0.0465443, 0.0465443
0.0465443, 0.0465443
0.0465443, 0.0465443
0.0570403, 0.0570403
0.06266, 0.06266
0.06266, 0.06266
0.06266, 0.06266
0.0724808, 0.0724808
0.0629616, 0.0629616
0.0542313, 0.0542313
0.0618128, 0.0618128
0.0392038, 0.0392038
0.0392038, 0.0392038
0.0302147, 0.0302147
0.0407989, 0.0407989
0.0407989, 0.0407989
0.0407989, 0.0407989
0.0407989, 0.0407989
0.0312224, 0.0312224
0.0375776, 0.0375776
0.0375776, 0.0375776
0.0375776, 0.0375776
0.0375776, 0.0375776
0.0375776, 0.0375776
0.0523958, 0.0523958
0.0523958, 0.0523958
0.0523958, 0.0523958
0.0607427, 0.0607427
0.0517889, 0.0517889
0.0543948, 0.0543948
0.0543948, 0.0543948
0.0401214, 0.0401214
0.0336819, 0.0336819
0.0336819, 0.0336819
0.0401914, 0.0401914
0.0513851, 0.0513851
0.0513851, 0.0513851
0.0626254, 0.0626254
0.0537829, 0.0537829
0.0467083, 0.0467083
0.0477858, 0.0477858
0.0477858, 0.0477858
0.0477858, 0.0477858
0.0465185, 0.0465185
0.0498906, 0.0498906
0.0548939, 0.0548939
0.0548939, 0.0548939
0.0562968, 0.0562968
0.0562968, 0.0562968
0.0562968, 0.0562968
0.0562968, 0.0562968
0.0562968, 0.0562968
0.0562968, 0.0562968
0.0562968, 0.0562968
0.0477581, 0.0477581
0.0477581, 0.0477581
0.0477581, 0.0477581
0.0477581, 0.0477581
0.0493174, 0.0493174
0.0345436, 0.0345436
0.0345436, 0.0345436
0.0486271, 0.0486271
0.0486271, 0.0486271
0.050158, 0.050158
0.0568964, 0.0568964
0.0568964, 0.0568964
0.0512125, 0.0512125
0.0509701, 0.0509701
0.0509701, 0.0509701
0.0604164, 0.0604164
0.0604164, 0.0604164
0.0604164, 0.0604164
0.0604164, 0.0604164
0.0438636, 0.0438636
0.0438636, 0.0438636
0.0412829, 0.0412829
0.0412829, 0.0412829
0.0412829, 0.0412829
0.0169443, 0.0169443
0.0328749, 0.0328749
0.0361531, 0.0361531
0.0361531, 0.0361531
0.020554, 0.020554
0.0200305, 0.0200305
0.0200305, 0.0200305
0.0345709, 0.0345709
0.0345709, 0.0345709
0.0345709, 0.0345709
0.0393199, 0.0393199
0.034484, 0.034484
0.0318567, 0.0318567
0.0318567, 0.0318567
0.0318567, 0.0318567
0.0318567, 0.0318567
0.0281024, 0.0281024
0.0227692, 0.0227692
0.0227692, 0.0227692
0.0229905, 0.0229905
0.0307514, 0.0307514
0.0318991, 0.0318991
0.0318991, 0.0318991
0.0318991, 0.0318991
0.0318991, 0.0318991
0.0318991, 0.0318991
0.0449156, 0.0449156
0.0559939, 0.0559939
0.0417063, 0.0417063
0.0417063, 0.0417063
0.0377326, 0.0377326
0.0351601, 0.0351601
0.0351601, 0.0351601
0.0351601, 0.0351601
0.0351601, 0.0351601
0.0351601, 0.0351601
0.0351601, 0.0351601
0.0351601, 0.0351601
0.0351601, 0.0351601
0.0351601, 0.0351601
0.0307375, 0.0307375
0.0392827, 0.0392827
0.0376497, 0.0376497
0.0376497, 0.0376497
0.0376497, 0.0376497
0.0247401, 0.0247401
0.0304502, 0.0304502
0.0304502, 0.0304502
0.029578, 0.029578
0.029578, 0.029578
0.029578, 0.029578
0.029578, 0.029578
0.029578, 0.029578
0.029578, 0.029578
0.029578, 0.029578
0.0369788, 0.0369788
0.0309197, 0.0309197
0.0309197, 0.0309197
0.0309197, 0.0309197
0.0309197, 0.0309197
0.053201, 0.053201
0.0295318, 0.0295318
0.0295318, 0.0295318
0.02435, 0.02435
0.02435, 0.02435
0.02435, 0.02435
0.0465962, 0.0465962
0.0227308, 0.0227308
0.0259541, 0.0259541
0.0259541, 0.0259541
0.0259541, 0.0259541
0.027711, 0.027711
0.027711, 0.027711
0.027711, 0.027711
0.0363931, 0.0363931
0.0363931, 0.0363931
0.0290688, 0.0290688
0.0290688, 0.0290688
0.0290688, 0.0290688
0.0373867, 0.0373867
0.0427404, 0.0427404
0.0379946, 0.0379946
0.0379946, 0.0379946
0.0379946, 0.0379946
0.0379946, 0.0379946
0.0159979, 0.0159979
0.0159979, 0.0159979
0.0139627, 0.0139627
0.0139627, 0.0139627
0.0139627, 0.0139627
0.0145133, 0.0145133
0.0277709, 0.0277709
0.030618, 0.030618
0.022723, 0.022723
0.0472803, 0.0472803
0.0472803, 0.0472803
0.0472803, 0.0472803
0.0299023, 0.0299023
0.0299023, 0.0299023
0.0299023, 0.0299023
0.0201661, 0.0201661
0.0201661, 0.0201661
0.0201661, 0.0201661
0.0201661, 0.0201661
0.0260288, 0.0260288
0.039206, 0.039206
0.0188464, 0.0188464
0.0272628, 0.0272628
0.0322374, 0.0322374
0.0451503, 0.0451503
0.039246, 0.039246
0.039246, 0.039246
0.039246, 0.039246
0.039246, 0.039246
0.0273531, 0.0273531
0.0273531, 0.0273531
0.0273531, 0.0273531
0.0273531, 0.0273531
0.0273531, 0.0273531
0.0368394, 0.0368394
0.0291899, 0.0291899
0.0291899, 0.0291899
0.0291899, 0.0291899
0.0254103, 0.0254103
0.0254103, 0.0254103
0.0254103, 0.0254103
0.0164299, 0.0164299
0.0164299, 0.0164299
0.0130134, 0.0130134
0.0130134, 0.0130134
0.0129438, 0.0129438
0.0263628, 0.0263628
0.0263628, 0.0263628
0.0263628, 0.0263628
0.0263628, 0.0263628
0.0263628, 0.0263628
0.0263628, 0.0263628
0.0263628, 0.0263628
0.0263628, 0.0263628
0.0263628, 0.0263628
0.0532535, 0.0532535
0.0532535, 0.0532535
0.0470456, 0.0470456
0.0219516, 0.0219516
0.0219516, 0.0219516
0.0219516, 0.0219516
0.0284277, 0.0284277
0.0284277, 0.0284277
0.0244605, 0.0244605
0.0244605, 0.0244605
0.0244605, 0.0244605
0.0244605, 0.0244605
0.0202902, 0.0202902
0.0202902, 0.0202902
0.0202902, 0.0202902
0.0202902, 0.0202902
0.0202902, 0.0202902
0.0202902, 0.0202902
0.0202902, 0.0202902
0.0358211, 0.0358211
0.031157, 0.031157
0.0363022, 0.0363022
0.0363022, 0.0363022
0.0363022, 0.0363022
0.0335036, 0.0335036
0.0232487, 0.0232487
0.0308932, 0.0308932
0.031636, 0.031636
0.031636, 0.031636
0.031636, 0.031636
0.031636, 0.031636
0.0153027, 0.0153027
0.0153027, 0.0153027
0.0153027, 0.0153027
0.0153027, 0.0153027
