# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.002548,0.002548,-25711.257358, -25782.827034
2,0.152654,0.152654,-12424.893319, -12532.641410
2,0.083283,0.083283,-13935.820125, -13955.704464
2,0.086448,0.086448,-13376.150979, -13452.659598
2,0.096223,0.096223,-13135.708943, -13155.462054
2,0.089842,0.089842,-13287.131945, -13384.654019
2,0.099494,0.099494,-13065.447994, -13089.242821
2,0.069181,0.069181,-13940.566438, -13944.478461
2,0.090669,0.090669,-13266.375654, -13281.561165
2,0.080930,0.080930,-14000.412019, -14005.016700
2,0.103649,0.103649,-12982.809796, -13106.577363
2,0.124654,0.124654,-12661.145455, -12694.586357
2,0.048208,0.048208,-15372.440785, -15401.765187
2,0.101687,0.101687,-13020.931538, -13120.641342
2,0.118924,0.118924,-12734.575367, -12746.959598
2,0.003390,0.003390,-24617.321679, -24723.813551
2,0.104099,0.104099,-12974.276471, -13015.031465
2,0.047859,0.047859,-15018.220505, -15055.545386
2,0.080908,0.080908,-13535.497856, -13576.542802
2,0.165306,0.165306,-12373.412705, -12383.123982
2,0.065247,0.065247,-14101.124049, -14136.926142
2,0.096643,0.096643,-13126.412158, -13145.818704
2,0.004948,0.004948,-23174.674416, -23237.270924
2,0.061750,0.061750,-14256.254257, -14260.162804
2,0.127944,0.127944,-12623.258421, -12637.515203
2,0.063032,0.063032,-14197.935031, -14202.540201
2,0.041160,0.041160,-15497.722281, -15560.763741
2,0.058131,0.058131,-14430.551873, -14494.844329
2,0.190876,0.190876,-12352.739678, -12404.430735
2,0.017360,0.017360,-18495.379879, -18561.994832
2,0.092672,0.092672,-13217.539946, -13348.832413
2,0.011677,0.011677,-19946.924018, -19978.980595
3,0.002548,0.002548,-21605.763044, -21654.103279
3,0.152654,0.152654,-11420.316870, -11623.907293
3,0.083283,0.083283,-12002.959033, -12538.680807
3,0.086448,0.086448,-11941.984373, -12329.262198
3,0.096223,0.096223,-11781.662471, -12033.503297
3,0.089842,0.089842,-11881.732056, -12059.962116
3,0.099494,0.099494,-11736.475960, -11904.407131
3,0.069181,0.069181,-12340.839873, -12496.904120
3,0.090669,0.090669,-11867.823565, -12246.152406
3,0.080930,0.080930,-12051.488962, -12530.389380
3,0.103649,0.103649,-11684.566892, -12038.330027
3,0.124654,0.124654,-11502.201227, -11635.425647
3,0.048208,0.048208,-13130.410766, -13374.620479
3,0.101687,0.101687,-11708.332569, -11995.175284
3,0.118924,0.118924,-11540.004185, -11995.205335
3,0.003390,0.003390,-20725.504487, -21017.065339
3,0.104099,0.104099,-11679.292484, -12195.795754
3,0.047859,0.047859,-13147.748190, -13459.665927
3,0.080908,0.080908,-12951.929991, -13297.608125
3,0.165306,0.165306,-11429.967731, -11997.024545
3,0.065247,0.065247,-12458.134069, -12732.223803
3,0.096643,0.096643,-11775.633395, -11970.877523
3,0.004948,0.004948,-19568.193296, -19904.021404
3,0.061750,0.061750,-12572.643041, -12814.942484
3,0.127944,0.127944,-11484.075077, -11621.561996
3,0.063032,0.063032,-12529.469118, -12794.647608
3,0.041160,0.041160,-13517.473996, -14379.843149
3,0.058131,0.058131,-12702.499326, -13023.343003
3,0.190876,0.190876,-11520.538540, -11953.658943
3,0.017360,0.017360,-15870.086633, -16483.366946
3,0.092672,0.092672,-11835.327801, -12112.118112
