# FBP,BGP,LogLik
0.130706,0.130706,-10380.914433
0.195680,0.195680,-11272.184090
0.064776,0.064776,-9783.081200
0.026274,0.026274,-9959.574980
0.034506,0.034506,-9835.973363
0.006433,0.006433,-11069.531743
0.164776,0.164776,-10826.594366
0.015231,0.015231,-10319.706022
0.178732,0.178732,-11023.662171
0.009687,0.009687,-10694.056891
0.162662,0.162662,-10797.407053
0.039151,0.039151,-9795.938690
0.004617,0.004617,-11390.874939
0.140309,0.140309,-10500.668864
0.000530,0.000530,-13649.725607
0.059534,0.059534,-9765.744008
0.011419,0.011419,-10552.141006
0.024273,0.024273,-10003.632031
0.025082,0.025082,-9985.002811
0.144638,0.144638,-10556.289036
0.194431,0.194431,-11253.551673
0.048917,0.048917,-9757.939913
0.079781,0.079781,-9868.074556
0.074878,0.074878,-9835.361437
0.051359,0.051359,-9755.940302
0.142541,0.142541,-10529.222121
0.054262,0.054262,-9756.707365
0.102883,0.102883,-10069.089924
0.025950,0.025950,-9966.259150
0.169593,0.169593,-10893.782453
0.137475,0.137475,-10464.783542
0.107752,0.107752,-10119.145287
