FBP, BGP
0.0566909, 0.0566909
0.0705124, 0.0705124
0.0705124, 0.0705124
0.073247, 0.073247
0.073247, 0.073247
0.0738445, 0.0738445
0.0738445, 0.0738445
0.0937514, 0.0937514
0.0937514, 0.0937514
0.0937514, 0.0937514
0.0937514, 0.0937514
0.0937514, 0.0937514
0.0937514, 0.0937514
0.0937514, 0.0937514
0.0931836, 0.0931836
0.0931836, 0.0931836
0.090525, 0.090525
0.090525, 0.090525
0.090525, 0.090525
0.090525, 0.090525
0.0815937, 0.0815937
0.0815937, 0.0815937
0.0752733, 0.0752733
0.0332788, 0.0332788
0.0332788, 0.0332788
0.0332788, 0.0332788
0.0332788, 0.0332788
0.0332788, 0.0332788
0.0332788, 0.0332788
0.0332788, 0.0332788
0.0332788, 0.0332788
0.0332788, 0.0332788
0.026617, 0.026617
0.026617, 0.026617
0.026617, 0.026617
0.026617, 0.026617
0.026617, 0.026617
0.026617, 0.026617
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.022132, 0.022132
0.0267048, 0.0267048
0.0267048, 0.0267048
0.0267048, 0.0267048
0.0267048, 0.0267048
0.023949, 0.023949
0.023949, 0.023949
0.023949, 0.023949
0.023949, 0.023949
0.023949, 0.023949
0.023949, 0.023949
0.023949, 0.023949
0.023949, 0.023949
0.023949, 0.023949
0.023949, 0.023949
0.0249256, 0.0249256
0.0249256, 0.0249256
0.0249256, 0.0249256
0.0249256, 0.0249256
0.0249256, 0.0249256
0.0249256, 0.0249256
0.00995653, 0.00995653
0.0212063, 0.0212063
0.0212063, 0.0212063
0.0212063, 0.0212063
0.0212063, 0.0212063
0.0212063, 0.0212063
0.0267887, 0.0267887
0.0267887, 0.0267887
0.0242359, 0.0242359
0.0242359, 0.0242359
0.0242359, 0.0242359
0.0242359, 0.0242359
0.0242359, 0.0242359
0.0242359, 0.0242359
0.0242359, 0.0242359
0.0242359, 0.0242359
0.0242359, 0.0242359
0.0242359, 0.0242359
0.0242359, 0.0242359
0.0242359, 0.0242359
0.0200406, 0.0200406
0.0200406, 0.0200406
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0215016, 0.0215016
0.0213063, 0.0213063
0.0241353, 0.0241353
0.0260131, 0.0260131
0.0229261, 0.0229261
0.0229261, 0.0229261
0.032096, 0.032096
0.032096, 0.032096
0.032096, 0.032096
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0192402, 0.0192402
0.0281772, 0.0281772
0.0281772, 0.0281772
0.0281772, 0.0281772
0.0281772, 0.0281772
0.0281772, 0.0281772
0.0281772, 0.0281772
0.0281772, 0.0281772
0.0281772, 0.0281772
0.0281772, 0.0281772
0.0281772, 0.0281772
0.0281772, 0.0281772
0.0261073, 0.0261073
0.0261073, 0.0261073
0.0261073, 0.0261073
0.0261073, 0.0261073
0.0261073, 0.0261073
0.0217151, 0.0217151
0.0217151, 0.0217151
0.0217151, 0.0217151
0.0217151, 0.0217151
0.0192091, 0.0192091
0.0192091, 0.0192091
0.0192091, 0.0192091
0.0261889, 0.0261889
0.0261889, 0.0261889
0.0215957, 0.0215957
0.0215957, 0.0215957
0.0215957, 0.0215957
0.0215957, 0.0215957
0.0215957, 0.0215957
0.0215957, 0.0215957
0.0253586, 0.0253586
0.0253586, 0.0253586
0.0253586, 0.0253586
0.0253586, 0.0253586
0.0253586, 0.0253586
0.0253586, 0.0253586
0.0253586, 0.0253586
0.027798, 0.027798
0.027798, 0.027798
0.0346252, 0.0346252
0.0346252, 0.0346252
0.0346252, 0.0346252
0.0346252, 0.0346252
0.0346252, 0.0346252
0.0346252, 0.0346252
0.0346252, 0.0346252
0.0346252, 0.0346252
0.0346252, 0.0346252
0.0199129, 0.0199129
0.0199129, 0.0199129
0.0199129, 0.0199129
0.0229228, 0.0229228
0.0229228, 0.0229228
0.0229228, 0.0229228
0.0229228, 0.0229228
0.0247702, 0.0247702
0.0247702, 0.0247702
0.0247702, 0.0247702
0.0247702, 0.0247702
0.00883727, 0.00883727
0.0128548, 0.0128548
0.0128548, 0.0128548
0.0154048, 0.0154048
0.0154048, 0.0154048
0.0154048, 0.0154048
0.0154048, 0.0154048
0.0257275, 0.0257275
0.0257275, 0.0257275
0.0257275, 0.0257275
0.0257275, 0.0257275
0.0257275, 0.0257275
0.0257275, 0.0257275
0.0257275, 0.0257275
0.0257275, 0.0257275
0.0257275, 0.0257275
0.0257275, 0.0257275
0.0266341, 0.0266341
0.0266341, 0.0266341
0.0266341, 0.0266341
0.0242441, 0.0242441
0.02768, 0.02768
0.02768, 0.02768
0.02768, 0.02768
0.02768, 0.02768
0.0215025, 0.0215025
0.0215025, 0.0215025
0.0268276, 0.0268276
0.0268276, 0.0268276
0.0268276, 0.0268276
0.0268276, 0.0268276
0.0268276, 0.0268276
0.0268276, 0.0268276
0.0268276, 0.0268276
0.0268276, 0.0268276
0.0268276, 0.0268276
0.0268276, 0.0268276
0.0268276, 0.0268276
0.0220414, 0.0220414
0.0220414, 0.0220414
0.0300653, 0.0300653
0.0254019, 0.0254019
0.0254019, 0.0254019
0.0254019, 0.0254019
0.0254019, 0.0254019
0.0233717, 0.0233717
0.0233717, 0.0233717
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0230262, 0.0230262
0.0216838, 0.0216838
0.0216838, 0.0216838
0.0216838, 0.0216838
0.0239724, 0.0239724
0.0239724, 0.0239724
0.0239724, 0.0239724
0.0237916, 0.0237916
0.0237916, 0.0237916
0.0237916, 0.0237916
0.0237916, 0.0237916
0.0237916, 0.0237916
0.0237916, 0.0237916
0.0237916, 0.0237916
0.0251131, 0.0251131
0.0251131, 0.0251131
0.0251131, 0.0251131
0.0251131, 0.0251131
0.0251131, 0.0251131
0.0251131, 0.0251131
0.025467, 0.025467
0.025467, 0.025467
0.025467, 0.025467
0.025467, 0.025467
0.0230751, 0.0230751
0.0230751, 0.0230751
0.0230751, 0.0230751
0.0244078, 0.0244078
0.0244078, 0.0244078
0.0244078, 0.0244078
0.0244078, 0.0244078
0.0244078, 0.0244078
0.0244078, 0.0244078
0.0244078, 0.0244078
0.0244078, 0.0244078
0.0244078, 0.0244078
0.0234158, 0.0234158
0.0234158, 0.0234158
0.0234158, 0.0234158
0.0234158, 0.0234158
0.0234158, 0.0234158
0.0486985, 0.0486985
0.0486985, 0.0486985
0.0486985, 0.0486985
0.0486985, 0.0486985
0.0356298, 0.0356298
0.0356298, 0.0356298
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.024891, 0.024891
0.0641163, 0.0641163
0.0429804, 0.0429804
0.0304638, 0.0304638
0.0304638, 0.0304638
0.0234208, 0.0234208
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0256447, 0.0256447
0.0421869, 0.0421869
0.0421869, 0.0421869
0.0421869, 0.0421869
0.0421869, 0.0421869
0.0290106, 0.0290106
0.0239709, 0.0239709
0.027226, 0.027226
0.027226, 0.027226
0.027226, 0.027226
0.027226, 0.027226
0.027226, 0.027226
0.027226, 0.027226
0.027226, 0.027226
0.027226, 0.027226
0.027226, 0.027226
0.027226, 0.027226
0.027226, 0.027226
0.027226, 0.027226
0.0224157, 0.0224157
0.0224157, 0.0224157
0.0166795, 0.0166795
0.0166795, 0.0166795
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0224234, 0.0224234
0.0245859, 0.0245859
0.0245859, 0.0245859
0.0245859, 0.0245859
0.0279897, 0.0279897
0.0279897, 0.0279897
0.0279897, 0.0279897
0.0279897, 0.0279897
0.0256427, 0.0256427
0.0256427, 0.0256427
0.0256427, 0.0256427
0.0256427, 0.0256427
0.0253189, 0.0253189
0.0253189, 0.0253189
0.0253189, 0.0253189
0.0253189, 0.0253189
0.0253189, 0.0253189
0.0253189, 0.0253189
0.0253189, 0.0253189
0.0253189, 0.0253189
0.0253189, 0.0253189
0.0253189, 0.0253189
0.0253189, 0.0253189
0.0253189, 0.0253189
0.0522443, 0.0522443
0.0438451, 0.0438451
0.0414741, 0.0414741
0.0255982, 0.0255982
0.0255982, 0.0255982
0.0255982, 0.0255982
0.0255982, 0.0255982
0.0255982, 0.0255982
0.0255982, 0.0255982
0.0255982, 0.0255982
0.0255982, 0.0255982
0.024767, 0.024767
0.024767, 0.024767
0.024767, 0.024767
0.024767, 0.024767
0.024767, 0.024767
0.024767, 0.024767
0.024767, 0.024767
0.024767, 0.024767
0.024767, 0.024767
0.0339752, 0.0339752
0.0339752, 0.0339752
0.0339752, 0.0339752
0.0266634, 0.0266634
0.0266634, 0.0266634
0.0266634, 0.0266634
0.0266634, 0.0266634
0.0266634, 0.0266634
0.0266634, 0.0266634
0.0266634, 0.0266634
0.0266634, 0.0266634
0.0266634, 0.0266634
0.0259313, 0.0259313
0.0264237, 0.0264237
0.0264237, 0.0264237
0.0264237, 0.0264237
0.0264237, 0.0264237
0.0264237, 0.0264237
0.0264237, 0.0264237
0.0264237, 0.0264237
0.0272381, 0.0272381
0.0272381, 0.0272381
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0242335, 0.0242335
0.0194038, 0.0194038
0.0194038, 0.0194038
0.0194038, 0.0194038
0.0194038, 0.0194038
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0224203, 0.0224203
0.0244463, 0.0244463
0.0244463, 0.0244463
0.0244463, 0.0244463
0.0414801, 0.0414801
0.0182936, 0.0182936
0.0255987, 0.0255987
0.0255987, 0.0255987
0.0255987, 0.0255987
0.0253297, 0.0253297
0.0263968, 0.0263968
0.0263968, 0.0263968
0.0263968, 0.0263968
0.0263968, 0.0263968
0.0263968, 0.0263968
0.0263968, 0.0263968
0.0263968, 0.0263968
0.0263968, 0.0263968
0.0263968, 0.0263968
