# FBP,BGP,LogLik
0.168468,0.168468,-9992.865949
0.016639,0.016639,-9207.513385
0.152737,0.152737,-9756.368720
0.048733,0.048733,-8758.706872
0.038845,0.038845,-8789.124487
0.114491,0.114491,-9244.097477
0.019143,0.019143,-9114.388960
0.177065,0.177065,-10127.391849
0.125450,0.125450,-9380.369756
0.144683,0.144683,-9640.552111
0.003226,0.003226,-10620.479323
0.118886,0.118886,-9297.589207
0.111357,0.111357,-9206.965353
0.031792,0.031792,-8850.859016
0.030614,0.030614,-8865.608897
0.139106,0.139106,-9562.609007
0.063753,0.063753,-8791.551674
0.138394,0.138394,-9552.800840
0.110877,0.110877,-9201.352112
0.077790,0.077790,-8877.000884
0.185026,0.185026,-10255.087015
0.168334,0.168334,-9990.790119
0.071480,0.071480,-8833.442046
0.008718,0.008718,-9710.757290
0.060954,0.060954,-8780.014352
0.079637,0.079637,-8891.128931
0.140992,0.140992,-9588.748216
0.199072,0.199072,-10487.317770
0.071183,0.071183,-8831.587913
0.152510,0.152510,-9753.053279
0.118635,0.118635,-9294.491133
0.138340,0.138340,-9552.062256
