# FBP,BGP,LogLik
0.024854,0.024854,-11327.997088
0.082889,0.082889,-11219.645688
0.041317,0.041317,-11118.416515
0.149312,0.149312,-11918.571697
0.081183,0.081183,-11207.294318
0.000027,0.000027,-18197.311957
0.052527,0.052527,-11090.013448
0.040660,0.040660,-11122.183350
0.014954,0.014954,-11673.005349
0.106163,0.106163,-11424.893010
0.067389,0.067389,-11126.214037
0.043786,0.043786,-11106.605994
0.187333,0.187333,-12416.046532
0.064756,0.064756,-11115.253584
0.025541,0.025541,-11312.705408
0.104636,0.104636,-11409.677293
0.178467,0.178467,-12296.738036
0.155592,0.155592,-11997.840984
0.029638,0.029638,-11236.461211
0.059796,0.059796,-11099.485169
0.047434,0.047434,-11095.323228
0.185527,0.185527,-12391.609330
0.055857,0.055857,-11092.123097
0.033876,0.033876,-11179.480320
0.091023,0.091023,-11284.209296
0.122356,0.122356,-11597.376040
0.031702,0.031702,-11206.292879
0.004902,0.004902,-12672.518452
0.018953,0.018953,-11499.233630
0.130190,0.130190,-11686.998500
0.032690,0.032690,-11193.526578
0.051769,0.051769,-11090.114857
