# FBP,BGP,LogLik
0.181496,0.181496,-11244.214507
0.048119,0.048119,-10020.223836
0.180472,0.180472,-11230.628703
0.116821,0.116821,-10466.254647
0.196667,0.196667,-11449.454441
0.169865,0.169865,-11091.992321
0.002218,0.002218,-12141.874560
0.003024,0.003024,-11853.061650
0.148688,0.148688,-10827.316689
0.103359,0.103359,-10331.874282
0.151073,0.151073,-10856.261363
0.117938,0.117938,-10477.973138
0.046456,0.046456,-10022.321937
0.157321,0.157321,-10933.164282
0.006207,0.006207,-11208.909682
0.161303,0.161303,-10982.953010
0.133017,0.133017,-10643.324771
0.134655,0.134655,-10662.018874
0.008772,0.008772,-10919.561702
0.041955,0.041955,-10034.476713
0.097787,0.097787,-10280.462493
0.088413,0.088413,-10200.726131
0.005293,0.005293,-11347.453818
0.067166,0.067166,-10062.441562
0.193493,0.193493,-11405.901236
0.061313,0.061313,-10038.739626
0.126557,0.126557,-10570.928031
0.136339,0.136339,-10681.374355
0.124733,0.124733,-10550.894236
0.057939,0.057939,-10028.895833
0.114338,0.114338,-10440.494115
0.140819,0.140819,-10733.531883
