# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.190505,0.190505,-12068.473138, -12077.177185
2,0.130142,0.130142,-11986.412211, -12031.353827
2,0.095267,0.095267,-12259.571179, -12320.658077
2,0.155515,0.155515,-11956.208170, -12010.147975
2,0.050925,0.050925,-13377.608269, -13464.022458
2,0.162166,0.162166,-11965.388845, -12010.674122
2,0.067659,0.067659,-12796.741926, -12842.401857
2,0.014931,0.014931,-16616.257210, -16672.634383
2,0.156576,0.156576,-11957.244403, -12056.602251
2,0.038192,0.038192,-14056.455497, -14229.404915
2,0.128860,0.128860,-11991.088139, -12007.774358
2,0.053957,0.053957,-13251.299168, -13374.312990
2,0.137090,0.137090,-11966.772309, -11985.241133
2,0.025220,0.025220,-15185.212764, -15234.904353
2,0.124782,0.124782,-12008.275252, -12091.050525
2,0.038404,0.038404,-14042.692260, -14047.284250
2,0.100672,0.100672,-12194.013032, -12197.940557
2,0.174540,0.174540,-11998.429943, -12020.329117
2,0.095084,0.095084,-12261.976098, -12265.479756
2,0.154413,0.154413,-11955.309053, -11992.945906
2,0.029290,0.029290,-14743.121744, -14819.650932
2,0.131431,0.131431,-11982.051822, -12101.798627
2,0.030396,0.030396,-14644.270956, -14661.440499
2,0.153713,0.153713,-11954.832194, -11995.770879
2,0.142812,0.142812,-11957.382466, -11984.046993
2,0.080481,0.080481,-12498.420258, -12572.105525
2,0.094008,0.094008,-12276.363400, -12307.999995
2,0.033683,0.033683,-14375.252948, -14442.263301
2,0.127104,0.127104,-11998.050634, -12002.643854
2,0.182537,0.182537,-12029.889264, -12058.309914
2,0.112085,0.112085,-12086.467803, -12113.084626
2,0.063031,0.063031,-12931.744280, -12936.340291
3,0.190505,0.190505,-11992.123029, -12072.971511
3,0.130142,0.130142,-11820.510965, -11912.678137
3,0.095267,0.095267,-11932.277808, -12049.213850
3,0.155515,0.155515,-11830.246440, -11868.672101
3,0.050925,0.050925,-12517.770694, -12660.314994
