# FBP,BGP,LogLik
0.087643,0.087643,-9439.186222
0.153019,0.153019,-10243.478594
0.113128,0.113128,-9712.678719
0.016981,0.016981,-9621.014203
0.116534,0.116534,-9753.847041
0.162969,0.162969,-10389.537168
0.067413,0.067413,-9283.244336
0.185515,0.185515,-10736.265320
0.150143,0.150143,-10202.139462
0.114813,0.114813,-9732.923228
0.150329,0.150329,-10204.792132
0.015830,0.015830,-9667.301429
0.171878,0.171878,-10524.063837
0.164301,0.164301,-10409.434120
0.181974,0.181974,-10680.470030
0.025726,0.025726,-9386.539733
0.016356,0.016356,-9645.531570
0.027683,0.027683,-9353.626529
0.079876,0.079876,-9371.229067
0.084861,0.084861,-9413.850392
0.112444,0.112444,-9704.515016
0.024449,0.024449,-9411.088266
0.040280,0.040280,-9238.392243
0.162329,0.162329,-10380.007506
0.093598,0.093598,-9496.809160
0.161588,0.161588,-10368.991155
0.001485,0.001485,-11723.613994
0.110319,0.110319,-9679.427118
0.186386,0.186386,-10750.064078
0.116435,0.116435,-9752.635899
0.041219,0.041219,-9234.707316
0.143552,0.143552,-10108.968660
