# FBP,BGP,LogLik
0.024854,0.024854,-9918.531312
0.082889,0.082889,-9911.336916
0.041317,0.041317,-9759.318829
0.149312,0.149312,-10634.902485
0.081183,0.081183,-9897.866441
0.000027,0.000027,-15896.795889
0.052527,0.052527,-9751.284485
0.040660,0.040660,-9761.638064
0.014954,0.014954,-10206.337423
0.106163,0.106163,-10127.972546
0.067389,0.067389,-9805.590194
0.043786,0.043786,-9752.668833
0.187333,0.187333,-11149.415153
0.064756,0.064756,-9791.964269
0.025541,0.025541,-9906.143156
0.104636,0.104636,-10112.177545
0.178467,0.178467,-11025.009418
0.155592,0.155592,-10716.272730
0.029638,0.029638,-9845.380705
0.059796,0.059796,-9770.596659
0.047434,0.047434,-9748.260170
0.185527,0.185527,-11123.869166
0.055857,0.055857,-9758.170738
0.033876,0.033876,-9801.733457
0.091023,0.091023,-9980.612708
0.122356,0.122356,-10305.780345
0.031702,0.031702,-9822.002373
0.004902,0.004902,-11067.270857
0.018953,0.018953,-10059.918716
0.130190,0.130190,-10397.672826
0.032690,0.032690,-9812.279825
0.051769,0.051769,-9750.228658
