# FBP,BGP,LogLik
0.044069,0.044069,-7232.194353
0.051224,0.051224,-7227.115081
0.123440,0.123440,-7794.196884
0.127530,0.127530,-7846.718882
0.092382,0.092382,-7453.170951
0.008668,0.008668,-7977.406977
0.175447,0.175447,-8567.788205
0.048863,0.048863,-7226.662901
0.116206,0.116206,-7705.306916
0.147734,0.147734,-8128.252430
0.036868,0.036868,-7260.253665
0.094659,0.094659,-7474.265680
0.000268,0.000268,-10636.639747
0.009489,0.009489,-7917.745868
0.050098,0.050098,-7226.656675
0.131745,0.131745,-7902.483892
0.177335,0.177335,-8599.785982
0.084897,0.084897,-7388.906178
0.005008,0.005008,-8360.007790
0.058544,0.058544,-7239.809331
0.191400,0.191400,-8845.873949
0.022244,0.022244,-7434.646858
0.151142,0.151142,-8179.123671
0.149466,0.149466,-8153.984790
0.117985,0.117985,-7726.671380
0.186178,0.186178,-8752.931796
0.128430,0.128430,-7858.492930
0.193301,0.193301,-8880.153469
0.165226,0.165226,-8399.000031
0.158809,0.158809,-8296.940056
0.190210,0.190210,-8824.533779
0.123408,0.123408,-7793.799921
