# FBP,BGP,LogLik
0.117997,0.117997,-8576.280478
0.025843,0.025843,-8297.336528
0.173390,0.173390,-9299.448497
0.134565,0.134565,-8768.503867
0.188411,0.188411,-9531.954434
0.029177,0.029177,-8246.832614
0.090737,0.090737,-8315.422303
0.108713,0.108713,-8478.979197
0.021668,0.021668,-8382.352012
0.135381,0.135381,-8778.541117
0.113287,0.113287,-8525.923130
0.069608,0.069608,-8176.881710
0.082583,0.082583,-8253.968305
0.159246,0.159246,-9093.892124
0.071283,0.071283,-8185.187232
0.194527,0.194527,-9630.659360
0.183637,0.183637,-9456.508599
0.015617,0.015617,-8570.185280
0.170483,0.170483,-9256.126999
0.134756,0.134756,-8770.843084
0.011064,0.011064,-8799.683434
0.191073,0.191073,-9574.636604
0.166697,0.166697,-9200.529826
0.166537,0.166537,-9198.192284
0.183129,0.183129,-9448.566138
0.184217,0.184217,-9465.596846
0.043816,0.043816,-8138.382242
0.187473,0.187473,-9517.008135
0.009586,0.009586,-8902.440997
0.176286,0.176286,-9343.163064
0.091343,0.091343,-8320.333749
0.166234,0.166234,-9193.783328
