# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.028333,0.028333,-17354.903171, -17394.248522
2,0.116678,0.116678,-13452.551575, -13528.624506
2,0.056411,0.056411,-15142.086121, -15159.108505
2,0.044540,0.044540,-15854.998465, -15931.730347
2,0.147678,0.147678,-13101.851156, -13128.279409
2,0.082638,0.082638,-14202.905130, -14285.605989
2,0.087538,0.087538,-14066.575173, -14180.401367
2,0.168880,0.168880,-12954.505429, -12979.283123
2,0.047737,0.047737,-15639.906021, -15663.923873
2,0.105668,0.105668,-13622.660888, -13627.251221
2,0.165542,0.165542,-12971.787286, -13006.575258
2,0.026378,0.026378,-17604.392494, -17607.205903
2,0.119237,0.119237,-13418.617190, -13441.357897
2,0.167438,0.167438,-12961.718441, -12997.299916
2,0.152893,0.152893,-13056.961937, -13142.848536
2,0.176896,0.176896,-12921.196401, -12941.904186
2,0.006513,0.006513,-22858.764812, -22949.189597
2,0.138291,0.138291,-13198.552244, -13224.889767
2,0.040787,0.040787,-16134.492387, -16183.542541
2,0.111404,0.111404,-13528.948676, -13558.178500
2,0.154956,0.154956,-13120.870701, -13164.269162
2,0.084038,0.084038,-14098.936354, -14114.281511
2,0.140841,0.140841,-13214.973579, -13265.494095
2,0.168082,0.168082,-13067.398849, -13110.085214
2,0.189144,0.189144,-12891.113975, -12895.718826
2,0.109019,0.109019,-13566.514131, -13595.783005
2,0.063220,0.063220,-14904.065183, -14943.523783
2,0.078005,0.078005,-14275.441808, -14303.086424
2,0.173119,0.173119,-12935.483835, -12956.159759
2,0.048063,0.048063,-15619.013687, -15652.400314
2,0.176653,0.176653,-12922.043804, -13101.249932
2,0.011567,0.011567,-20638.316479, -20669.245579
3,0.028333,0.028333,-15705.025521, -16069.521883
3,0.116678,0.116678,-12703.902631, -12967.704568
3,0.056411,0.056411,-14206.619145, -14362.610557
3,0.044540,0.044540,-14693.967637, -14868.287690
3,0.147678,0.147678,-12534.791850, -12871.623886
3,0.082638,0.082638,-13214.643374, -13521.741867
3,0.087538,0.087538,-13330.533577, -13458.991541
3,0.168880,0.168880,-12529.509611, -12867.996061
3,0.047737,0.047737,-14413.119458, -14536.439225
3,0.105668,0.105668,-12831.288296, -13122.450404
3,0.165542,0.165542,-12522.419949, -12765.552051
3,0.026378,0.026378,-15990.768886, -16153.464305
3,0.119237,0.119237,-12689.596587, -12924.745622
3,0.167438,0.167438,-12513.738057, -12759.301399
3,0.152893,0.152893,-12510.040387, -12667.900986
3,0.176896,0.176896,-12510.640849, -12635.542391
