# FBP,BGP,LogLik
0.084061,0.084061,-7834.081852
0.147086,0.147086,-8586.348158
0.163596,0.163596,-8837.635039
0.145454,0.145454,-8562.520575
0.162620,0.162620,-8822.280144
0.149037,0.149037,-8615.085882
0.029930,0.029930,-7774.045168
0.154481,0.154481,-8696.646742
0.038137,0.038137,-7699.095156
0.019844,0.019844,-7973.396349
0.180329,0.180329,-9110.104300
0.119647,0.119647,-8212.480817
0.035297,0.035297,-7718.837211
0.127242,0.127242,-8309.953384
0.066570,0.066570,-7714.127735
0.028309,0.028309,-7796.304928
0.159897,0.159897,-8779.774561
0.021997,0.021997,-7916.468219
0.192491,0.192491,-9318.635924
0.154387,0.154387,-8695.225746
0.142445,0.142445,-8519.076775
0.047830,0.047830,-7668.151549
0.151918,0.151918,-8658.003310
0.004510,0.004510,-9073.054119
0.110774,0.110774,-8105.172929
0.062147,0.062147,-7693.942601
0.166458,0.166458,-8883.016340
0.152264,0.152264,-8663.195317
0.097568,0.097568,-7960.309815
0.094471,0.094471,-7929.234425
0.014631,0.014631,-8162.967591
0.046934,0.046934,-7669.038904
