FBP, BGP, LogMarginal
0.153056, 0.153056, -14467.6
0.105523, 0.105523, -14230
0.105536, 0.105536, -14101.2
0.101848, 0.101848, -14067.8
0.0985585, 0.0985585, -14068.2
0.100677, 0.100677, -14063
0.0992601, 0.0992601, -14054.5
0.0999563, 0.0999563, -14053
0.101638, 0.101638, -14051.8
0.103686, 0.103686, -14026.5
0.0999538, 0.0999538, -13972.7
0.100321, 0.100321, -13971
0.10407, 0.10407, -13973
0.100436, 0.100436, -13961.8
0.103017, 0.103017, -13959.9
0.0984579, 0.0984579, -13956.7
0.0999746, 0.0999746, -13972.4
0.098204, 0.098204, -13971
0.101582, 0.101582, -13970.1
0.0999376, 0.0999376, -13963.3
0.0997256, 0.0997256, -13966.8
0.0992907, 0.0992907, -13960.3
0.0969175, 0.0969175, -13965.6
0.0998539, 0.0998539, -13971
0.101498, 0.101498, -13953.8
0.0985756, 0.0985756, -13963.7
0.0990677, 0.0990677, -13963.8
0.0997488, 0.0997488, -13961.4
0.102959, 0.102959, -13959.2
0.100186, 0.100186, -13962.6
