"Accuracy","Precision","Recall","Exp","Error","RepID"
0.89,0.892857142857143,0.833333333333333,"Random",0.05,1
0.81,0.689655172413793,0.666666666666667,"Random",0.05,2
0.98,0.966666666666667,0.966666666666667,"Random",0.05,3
0.83,0.71875,0.766666666666667,"Random",0.05,4
0.85,0.777777777777778,0.7,"Random",0.05,5
0.99,1,0.966666666666667,"Random",0.05,6
0.91,0.896551724137931,0.866666666666667,"Random",0.05,7
0.87,0.84,0.7,"Random",0.05,8
1,1,1,"Random",0.05,9
1,1,1,"Random",0.05,10
0.76,0.731707317073171,1,"Random",0.05,11
1,1,1,"Random",0.05,12
0.98,0.966666666666667,0.966666666666667,"Random",0.05,13
0.91,0.909090909090909,1,"Random",0.05,14
0.99,0.967741935483871,1,"Random",0.05,15
0.97,0.935483870967742,0.966666666666667,"Random",0.05,16
0.9,0.857142857142857,0.8,"Random",0.05,17
0.96,0.933333333333333,0.933333333333333,"Random",0.05,18
0.93,0.925925925925926,0.833333333333333,"Random",0.05,19
0.72,0.96,0.8,"Random",0.05,20
1,1,1,"Random",0.05,21
0.96,0.933333333333333,0.933333333333333,"Random",0.05,22
0.99,0.967741935483871,1,"Random",0.05,23
0.93,0.896551724137931,0.866666666666667,"Random",0.05,24
0.95,0.931034482758621,0.9,"Random",0.05,25
1,1,1,"Random",0.05,26
0.94,0.852941176470588,0.966666666666667,"Random",0.05,27
0.89,0.806451612903226,0.833333333333333,"Random",0.05,28
0.98,0.9375,1,"Random",0.05,29
0.78,0.766666666666667,0.766666666666667,"Random",0.05,30
0.87,0.814814814814815,0.733333333333333,"Random",0.05,31
0.69,0.909090909090909,0.666666666666667,"Random",0.05,32
1,1,1,"Random",0.05,33
1,1,1,"Random",0.05,34
0.95,0.903225806451613,0.933333333333333,"Random",0.05,35
0.99,0.967741935483871,1,"Random",0.05,36
0.92,0.892857142857143,0.833333333333333,"Random",0.05,37
0.88,0.846153846153846,0.733333333333333,"Random",0.05,38
0.99,0.967741935483871,1,"Random",0.05,39
0.96,1,0.866666666666667,"Random",0.05,40
0.97,0.935483870967742,0.966666666666667,"Random",0.05,41
0.99,1,0.966666666666667,"Random",0.05,42
0.89,0.852941176470588,0.966666666666667,"Random",0.05,43
0.93,0.925925925925926,0.833333333333333,"Random",0.05,44
0.99,0.967741935483871,1,"Random",0.05,45
0.91,0.888888888888889,0.8,"Random",0.05,46
0.83,0.740740740740741,0.666666666666667,"Random",0.05,47
1,1,1,"Random",0.05,48
0.98,0.9375,1,"Random",0.05,49
1,1,1,"Random",0.05,50
0.8,0.805555555555556,0.966666666666667,"Random",0.05,51
0.88,0.846153846153846,0.733333333333333,"Random",0.05,52
0.96,0.882352941176471,1,"Random",0.05,53
0.97,0.935483870967742,0.966666666666667,"Random",0.05,54
1,1,1,"Random",0.05,55
1,1,1,"Random",0.05,56
0.98,0.966666666666667,0.966666666666667,"Random",0.05,57
1,1,1,"Random",0.05,58
0.75,0.714285714285714,1,"Random",0.05,59
0.86,0.863636363636364,0.633333333333333,"Random",0.05,60
0.9,0.833333333333333,0.833333333333333,"Random",0.05,61
1,1,1,"Random",0.05,62
0.99,0.967741935483871,1,"Random",0.05,63
0.99,0.967741935483871,1,"Random",0.05,64
0.75,0.9,0.9,"Random",0.05,65
0.98,0.9375,1,"Random",0.05,66
1,1,1,"Random",0.05,67
1,1,1,"Random",0.05,68
0.97,0.909090909090909,1,"Random",0.05,69
0.88,0.875,0.7,"Random",0.05,70
1,1,1,"Random",0.05,71
0.96,0.933333333333333,0.933333333333333,"Random",0.05,72
0.93,0.870967741935484,0.9,"Random",0.05,73
0.9,0.857142857142857,0.8,"Random",0.05,74
0.99,0.967741935483871,1,"Random",0.05,75
0.82,0.967741935483871,1,"Random",0.05,76
1,1,1,"Random",0.05,77
1,1,1,"Random",0.05,78
0.99,0.967741935483871,1,"Random",0.05,79
1,1,1,"Random",0.05,80
0.99,0.967741935483871,1,"Random",0.05,81
1,1,1,"Random",0.05,82
0.88,0.90625,0.966666666666667,"Random",0.05,83
0.81,0.739130434782609,0.566666666666667,"Random",0.05,84
1,1,1,"Random",0.05,85
0.82,0.75,0.8,"Random",0.05,86
0.98,0.967741935483871,1,"Random",0.05,87
0.99,0.967741935483871,1,"Random",0.05,88
0.98,0.9375,1,"Random",0.05,89
0.96,0.933333333333333,0.933333333333333,"Random",0.05,90
0.95,0.878787878787879,0.966666666666667,"Random",0.05,91
0.99,1,0.966666666666667,"Random",0.05,92
0.97,0.909090909090909,1,"Random",0.05,93
0.93,0.925925925925926,0.833333333333333,"Random",0.05,94
1,1,1,"Random",0.05,95
0.98,0.967741935483871,1,"Random",0.05,96
0.98,0.9375,1,"Random",0.05,97
0.8,0.730769230769231,0.633333333333333,"Random",0.05,98
0.91,0.848484848484849,0.933333333333333,"Random",0.05,99
0.98,0.9375,1,"Random",0.05,100
