# FBP,BGP,LogLik
0.081889,0.081889,-9005.952177
0.043656,0.043656,-8871.757194
0.088352,0.088352,-9057.881726
0.099026,0.099026,-9154.858310
0.188149,0.188149,-10296.438655
0.085981,0.085981,-9038.178339
0.172451,0.172451,-10063.777124
0.033365,0.033365,-8930.537878
0.109034,0.109034,-9256.438898
0.118156,0.118156,-9356.591536
0.118744,0.118744,-9363.273789
0.100430,0.100430,-9168.537323
0.153429,0.153429,-9797.434669
0.034573,0.034573,-8919.835922
0.013621,0.013621,-9402.588267
0.028544,0.028544,-8986.642893
0.112646,0.112646,-9295.296111
0.049945,0.049945,-8864.077705
0.147707,0.147707,-9720.914381
0.012571,0.012571,-9458.329541
0.181799,0.181799,-10200.985178
0.190342,0.190342,-10329.822452
0.157130,0.157130,-9847.841765
0.175591,0.175591,-10109.416557
0.075669,0.075669,-8961.700212
0.031919,0.031919,-8944.997575
0.039990,0.039990,-8885.046987
0.100254,0.100254,-9166.814470
0.132277,0.132277,-9523.775782
0.113758,0.113758,-9307.471077
0.020988,0.020988,-9134.033377
0.145448,0.145448,-9691.194047
