# FBP,BGP,LogLik
0.098264,0.098264,-10307.939833
0.040493,0.040493,-10040.334774
0.142136,0.142136,-10790.926134
0.111684,0.111684,-10442.150595
0.120156,0.120156,-10533.767792
0.119113,0.119113,-10522.244692
0.061243,0.061243,-10047.014040
0.016674,0.016674,-10427.146619
0.082618,0.082618,-10173.335503
0.059548,0.059548,-10041.043547
0.113941,0.113941,-10466.094012
0.044628,0.044628,-10027.607129
0.044740,0.044740,-10027.382006
0.065031,0.065031,-10062.910320
0.034665,0.034665,-10075.815998
0.080402,0.080402,-10156.672410
0.164803,0.164803,-11079.375121
0.170401,0.170401,-11153.646729
0.021649,0.021649,-10273.613220
0.066146,0.066146,-10068.211632
0.122642,0.122642,-10561.535621
0.045390,0.045390,-10026.203051
0.183895,0.183895,-11337.181888
0.141327,0.141327,-10781.031989
0.044058,0.044058,-10028.837386
0.021337,0.021337,-10281.477778
0.014755,0.014755,-10507.041831
0.037595,0.037595,-10055.095124
0.079110,0.079110,-10147.271890
0.150158,0.150158,-10890.610324
0.028200,0.028200,-10147.762779
0.007292,0.007292,-11037.874593
