# FBP,BGP,LogLik
0.157799,0.157799,-9417.494520
0.005905,0.005905,-9462.316945
0.091780,0.091780,-8598.784441
0.087558,0.087558,-8561.134692
0.013444,0.013444,-8875.030261
0.035354,0.035354,-8411.394904
0.162998,0.162998,-9495.961616
0.116928,0.116928,-8865.817165
0.043781,0.043781,-8373.073662
0.091681,0.091681,-8597.873863
0.170924,0.170924,-9618.728456
0.020458,0.020458,-8629.616866
0.191096,0.191096,-9947.333388
0.028286,0.028286,-8482.635268
0.058149,0.058149,-8381.193927
0.036296,0.036296,-8404.953937
0.093911,0.093911,-8618.675158
0.062112,0.062112,-8394.932914
0.197702,0.197702,-10059.677196
0.003081,0.003081,-9978.828323
0.064307,0.064307,-8404.243045
0.118939,0.118939,-8889.895912
0.068005,0.068005,-8422.423618
0.091155,0.091155,-8593.060563
0.085044,0.085044,-8539.865829
0.017246,0.017246,-8723.205240
0.129810,0.129810,-9026.042438
0.166802,0.166802,-9554.420368
0.105566,0.105566,-8736.887627
0.029917,0.029917,-8462.117886
0.096255,0.096255,-8641.189894
0.002825,0.002825,-10049.407336
