# FBP,BGP,LogLik
0.130150,0.130150,-9970.995345
0.173092,0.173092,-10523.266853
0.005048,0.005048,-10572.013281
0.053381,0.053381,-9358.603530
0.100414,0.100414,-9655.683933
0.013490,0.013490,-9850.760801
0.198607,0.198607,-10895.148191
0.047292,0.047292,-9354.794337
0.074858,0.074858,-9450.387189
0.042802,0.042802,-9361.203972
0.021089,0.021089,-9592.328568
0.046496,0.046496,-9355.303735
0.060122,0.060122,-9376.167712
0.126888,0.126888,-9933.344810
0.056247,0.056247,-9364.542732
0.072455,0.072455,-9435.538812
0.001189,0.001189,-11789.987263
0.073144,0.073144,-9439.696465
0.106777,0.106777,-9717.415135
0.032403,0.032403,-9417.931687
0.119487,0.119487,-9850.494874
0.058630,0.058630,-9371.233701
0.126410,0.126410,-9927.880322
0.005239,0.005239,-10542.433515
0.177519,0.177519,-10585.602157
0.003224,0.003224,-10938.370514
0.025392,0.025392,-9506.105331
0.155432,0.155432,-10284.210106
0.009179,0.009179,-10114.798625
0.142200,0.142200,-10115.738317
0.194209,0.194209,-10828.917756
0.174337,0.174337,-10540.697840
