# FBP,BGP,LogLik
0.064874,0.064874,-10108.528726
0.035536,0.035536,-10123.573228
0.025426,0.025426,-10251.862614
0.101937,0.101937,-10378.487031
0.014106,0.014106,-10605.202273
0.141967,0.141967,-10808.359193
0.068377,0.068377,-10125.021127
0.198525,0.198525,-11533.234001
0.012571,0.012571,-10687.788505
0.009714,0.009714,-10884.046950
0.050362,0.050362,-10073.411528
0.070322,0.070322,-10135.247831
0.162649,0.162649,-11060.768313
0.165935,0.165935,-11102.308891
0.144717,0.144717,-10840.955135
0.165145,0.165145,-11092.294868
0.145669,0.145669,-10852.304214
0.174601,0.174601,-11213.619183
0.092903,0.092903,-10297.075358
0.055288,0.055288,-10078.360973
0.125892,0.125892,-10624.732480
0.072914,0.072914,-10149.966580
0.013529,0.013529,-10634.744889
0.171167,0.171167,-11169.221359
0.166819,0.166819,-11113.554303
0.099263,0.099263,-10353.608524
0.093203,0.093203,-10299.658327
0.023773,0.023773,-10285.011527
0.025180,0.025180,-10256.527353
0.159552,0.159552,-11021.946531
0.170802,0.170802,-11164.521172
0.001136,0.001136,-12821.712678
