# FBP,BGP,LogLik
0.149465,0.149465,-9744.235111
0.041918,0.041918,-8877.144880
0.050355,0.050355,-8864.147349
0.104776,0.104776,-9212.082894
0.153792,0.153792,-9802.338146
0.123752,0.123752,-9421.198241
0.100265,0.100265,-9166.915990
0.119425,0.119425,-9371.043782
0.151212,0.151212,-9767.574184
0.107416,0.107416,-9239.392719
0.179551,0.179551,-10167.621157
0.189413,0.189413,-10315.658654
0.183071,0.183071,-10219.962102
0.150904,0.150904,-9763.442657
0.049264,0.049264,-8864.104785
0.077054,0.077054,-8971.026148
0.056000,0.056000,-8871.124952
0.131532,0.131532,-9514.620198
0.064844,0.064844,-8901.022146
0.150878,0.150878,-9763.103249
0.022702,0.022702,-9092.341630
0.155073,0.155073,-9819.733112
0.117180,0.117180,-9345.568544
0.167078,0.167078,-9986.752203
0.086175,0.086175,-9039.765181
0.124993,0.124993,-9435.821321
0.110882,0.110882,-9276.185284
0.195134,0.195134,-10403.485749
0.151095,0.151095,-9766.004154
0.108963,0.108963,-9255.681381
0.034806,0.034806,-8917.902913
0.180823,0.180823,-10186.473361
