# FBP,BGP,LogLik
0.126687,0.126687,-10798.682258
0.096450,0.096450,-10486.094444
0.179085,0.179085,-11467.394652
0.195454,0.195454,-11696.971761
0.146479,0.146479,-11036.967295
0.192455,0.192455,-11654.327473
0.029429,0.029429,-10407.871385
0.031909,0.031909,-10371.231572
0.199813,0.199813,-11759.399414
0.075308,0.075308,-10326.338061
0.111892,0.111892,-10636.289388
0.188946,0.188946,-11604.767948
0.120795,0.120795,-10732.155032
0.174008,0.174008,-11397.863017
0.141459,0.141459,-10974.596419
0.171175,0.171175,-11359.426342
0.094059,0.094059,-10465.018995
0.189876,0.189876,-11617.865809
0.025052,0.025052,-10492.060266
0.161534,0.161534,-11230.717941
0.047058,0.047058,-10260.699543
0.123763,0.123763,-10765.378244
0.155252,0.155252,-11148.732433
0.140200,0.140200,-10959.143933
0.087921,0.087921,-10414.071449
0.186070,0.186070,-11564.393875
0.032366,0.032366,-10365.222074
0.144002,0.144002,-11006.036265
0.050636,0.050636,-10254.371433
0.137593,0.137593,-10927.401470
0.038124,0.038124,-10305.991631
0.009556,0.009556,-11211.795700
