# FBP,BGP,LogLik
0.114509,0.114509,-9749.135307
0.115109,0.115109,-9755.757692
0.119271,0.119271,-9802.407388
0.050140,0.050140,-9298.602887
0.164216,0.164216,-10369.821925
0.194089,0.194089,-10796.248999
0.055577,0.055577,-9303.817593
0.173099,0.173099,-10493.045429
0.058610,0.058610,-9311.006696
0.069785,0.069785,-9358.618019
0.157089,0.157089,-10273.289057
0.027466,0.027466,-9449.434999
0.012362,0.012362,-9948.034127
0.077327,0.077327,-9405.740179
0.025937,0.025937,-9476.334945
0.015911,0.015911,-9765.977763
0.117746,0.117746,-9785.168202
0.036795,0.036795,-9342.534308
0.060180,0.060180,-9315.792472
0.145818,0.145818,-10125.210978
0.018599,0.018599,-9663.174319
0.198794,0.198794,-10866.424269
0.061751,0.061751,-9321.259359
0.109126,0.109126,-9690.950923
0.158370,0.158370,-10290.482039
0.047401,0.047401,-9300.279760
0.068233,0.068233,-9350.271761
0.041254,0.041254,-9316.863538
0.075716,0.075716,-9394.819629
0.146987,0.146987,-10140.303137
0.142885,0.142885,-10087.666533
0.036404,0.036404,-9345.440228
