# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.074078,0.074078,-10740.344833, -10768.223329
2,0.104259,0.104259,-10596.930418, -10633.041674
2,0.097947,0.097947,-10576.367471, -10627.984033
2,0.026896,0.026896,-11931.013411, -11999.092926
2,0.073233,0.073233,-10750.119853, -10802.304876
2,0.199929,0.199929,-11115.930558, -11166.881060
2,0.112825,0.112825,-10556.673727, -10583.817627
2,0.093047,0.093047,-10594.897177, -10632.879737
2,0.109829,0.109829,-10556.655891, -10608.719257
2,0.052602,0.052602,-11053.748468, -11085.085978
2,0.113273,0.113273,-10556.834006, -10568.256977
2,0.145664,0.145664,-10659.319989, -10689.647819
2,0.021137,0.021137,-12312.894974, -12360.770079
2,0.055690,0.055690,-10996.709873, -11042.220522
2,0.041784,0.041784,-11316.195865, -11381.279445
2,0.148976,0.148976,-10678.339470, -10682.887815
2,0.187133,0.187133,-10983.479400, -10987.352478
2,0.084937,0.084937,-10642.328134, -10674.191615
2,0.126649,0.126649,-10578.887205, -10582.389282
2,0.006242,0.006242,-14513.318267, -14596.084129
2,0.026298,0.026298,-11941.758272, -11993.787049
2,0.076890,0.076890,-10692.131542, -10739.817205
2,0.132878,0.132878,-10599.462385, -10618.603043
2,0.128066,0.128066,-10583.031720, -10620.661745
2,0.038431,0.038431,-11422.801063, -11471.934178
2,0.026579,0.026579,-11949.159221, -12009.275315
2,0.187614,0.187614,-10988.212271, -11007.552452
2,0.071072,0.071072,-10776.647478, -10801.946564
2,0.092086,0.092086,-10599.328816, -10603.981031
2,0.019072,0.019072,-12483.222909, -12579.376033
2,0.182047,0.182047,-10934.660650, -10982.286798
2,0.133604,0.133604,-10602.243288, -10606.862405
3,0.074078,0.074078,-10384.593476, -10485.888804
3,0.104259,0.104259,-10446.595023, -10624.972900
3,0.097947,0.097947,-10401.739350, -10548.681512
3,0.026896,0.026896,-11145.003437, -11274.772377
3,0.073233,0.073233,-10386.316281, -10463.365698
3,0.199929,0.199929,-11195.519107, -11224.375684
3,0.112825,0.112825,-10444.507317, -10534.377570
3,0.093047,0.093047,-10375.369409, -10498.831818
3,0.109829,0.109829,-10430.072203, -10515.801232
3,0.052602,0.052602,-10591.496811, -10755.701968
3,0.113273,0.113273,-10446.814151, -10555.864837
3,0.145664,0.145664,-10691.237725, -10764.669504
3,0.021137,0.021137,-11437.085353, -11713.261137
3,0.055690,0.055690,-10588.542987, -10721.711458
3,0.041784,0.041784,-10955.575872, -11103.530379
3,0.148976,0.148976,-10717.828823, -10791.573506
3,0.187133,0.187133,-11070.529906, -11114.852076
3,0.084937,0.084937,-10383.469212, -10475.722361
3,0.126649,0.126649,-10532.047243, -10608.856985
3,0.006242,0.006242,-12839.878642, -13391.166958
3,0.026298,0.026298,-11123.846320, -11332.079209
3,0.076890,0.076890,-10389.094805, -10515.636611
3,0.132878,0.132878,-10577.256992, -10658.127120
3,0.128066,0.128066,-10555.709903, -10637.202994
3,0.038431,0.038431,-10783.962215, -11077.168910
3,0.026579,0.026579,-11118.995582, -11416.401219
3,0.187614,0.187614,-11058.032773, -11115.340465
3,0.071072,0.071072,-10394.080207, -10506.439332
3,0.092086,0.092086,-10373.782807, -10503.591852
3,0.019072,0.019072,-11464.793247, -11943.496888
3,0.182047,0.182047,-11003.728953, -11046.021095
3,0.133604,0.133604,-10594.365008, -10678.613858
4,0.074078,0.074078,-10458.296833, -10699.524639
4,0.104259,0.104259,-10450.929683, -10740.394528
4,0.097947,0.097947,-10318.970103, -10565.911720
4,0.026896,0.026896,-10304.501052, -10760.077295
4,0.073233,0.073233,-10171.575718, -10489.987398
4,0.199929,0.199929,-11317.166468, -11395.827380
4,0.112825,0.112825,-10484.179286, -10635.760598
4,0.093047,0.093047,-10434.744375, -10569.636899
4,0.109829,0.109829,-10381.941157, -10577.170241
4,0.052602,0.052602,-10075.674107, -10637.380198
4,0.113273,0.113273,-10378.128563, -10575.012180
4,0.145664,0.145664,-10681.931964, -10835.766383
4,0.021137,0.021137,-11081.839560, -11637.092784
4,0.055690,0.055690,-10419.689434, -10675.887515
4,0.041784,0.041784,-10119.818815, -10631.926346
4,0.148976,0.148976,-10707.997509, -10850.040098
4,0.187133,0.187133,-11152.406237, -11255.480784
4,0.084937,0.084937,-10249.897696, -10482.947050
4,0.126649,0.126649,-10568.123660, -10701.668648
4,0.006242,0.006242,-11499.729554, -12806.079311
4,0.026298,0.026298,-10691.557688, -11013.234209
4,0.076890,0.076890,-10202.817091, -10473.943831
4,0.132878,0.132878,-10577.426474, -10698.802650
4,0.128066,0.128066,-10536.618214, -10687.903028
4,0.038431,0.038431,-10458.951342, -10833.875092
4,0.026579,0.026579,-10760.597454, -11267.103259
4,0.187614,0.187614,-11192.355168, -11264.709590
4,0.071072,0.071072,-10271.390076, -10438.639140
4,0.092086,0.092086,-10300.025522, -10512.022073
4,0.019072,0.019072,-10526.972695, -11239.301931
4,0.182047,0.182047,-11118.403934, -11200.170137
4,0.133604,0.133604,-10580.690083, -10700.003726
5,0.074078,0.074078,-10682.115903, -10873.075296
5,0.104259,0.104259,-10393.408802, -10664.097013
5,0.097947,0.097947,-10461.681649, -10693.491966
5,0.026896,0.026896,-10550.877978, -11121.971027
5,0.073233,0.073233,-10242.011781, -10597.673578
5,0.199929,0.199929,-11438.710326, -11550.875369
5,0.112825,0.112825,-10507.713989, -10679.696460
5,0.093047,0.093047,-10362.013306, -10661.373194
5,0.109829,0.109829,-10559.961992, -10786.013780
5,0.052602,0.052602,-10280.049909, -10913.052725
5,0.113273,0.113273,-10555.329899, -10783.215314
5,0.145664,0.145664,-10759.645897, -10947.597700
5,0.021137,0.021137,-11340.212685, -11770.418415
5,0.055690,0.055690,-10080.571086, -10671.559585
5,0.041784,0.041784,-10576.894259, -11039.293017
5,0.148976,0.148976,-10860.650784, -11038.676737
5,0.187133,0.187133,-11274.864020, -11384.912021
5,0.084937,0.084937,-10152.145417, -10585.237040
5,0.126649,0.126649,-10680.633151, -10851.398901
5,0.006242,0.006242,-13051.555696, -13518.169079
5,0.026298,0.026298,-9985.950271, -11177.974527
5,0.076890,0.076890,-10267.290933, -10676.557703
5,0.132878,0.132878,-10737.270454, -10904.039700
5,0.128066,0.128066,-10683.538466, -10874.748427
5,0.038431,0.038431,-10254.926373, -10885.338490
5,0.026579,0.026579,-10114.990981, -11420.013083
5,0.187614,0.187614,-11249.207571, -11341.644501
5,0.071072,0.071072,-10218.342347, -10489.610780
5,0.092086,0.092086,-10457.395551, -10786.933890
5,0.019072,0.019072,-10813.493750, -11838.967032
5,0.182047,0.182047,-11259.481930, -11335.697495
5,0.133604,0.133604,-10590.673130, -10819.968085
6,0.074078,0.074078,-10367.613103, -10748.712563
6,0.104259,0.104259,-10493.917035, -10831.775410
6,0.097947,0.097947,-10713.074412, -10967.816268
6,0.026896,0.026896,-10371.605503, -11525.596375
6,0.073233,0.073233,-10642.716796, -10958.852324
6,0.199929,0.199929,-11593.959266, -11701.360103
6,0.112825,0.112825,-10621.432520, -10938.975368
6,0.093047,0.093047,-10392.286713, -10808.101825
6,0.109829,0.109829,-10470.179722, -10829.633294
6,0.052602,0.052602,-10317.682479, -10950.829032
6,0.113273,0.113273,-10725.794345, -10973.691871
6,0.145664,0.145664,-10981.374289, -11158.198202
6,0.021137,0.021137,-10277.606146, -11704.243949
6,0.055690,0.055690,-10071.338487, -10708.293978
6,0.041784,0.041784,-10373.802317, -11188.559620
6,0.148976,0.148976,-10995.133287, -11108.306907
6,0.187133,0.187133,-11464.232969, -11565.052606
6,0.084937,0.084937,-10516.777964, -10767.477466
6,0.126649,0.126649,-10812.282013, -11011.958007
6,0.006242,0.006242,-11437.045623, -13266.949636
6,0.026298,0.026298,-11134.437792, -11869.041267
6,0.076890,0.076890,-10197.819039, -10806.525762
6,0.132878,0.132878,-10824.095990, -11014.822042
6,0.128066,0.128066,-10822.559001, -11081.713647
6,0.038431,0.038431,-10119.290259, -10872.005613
6,0.026579,0.026579,-10919.606434, -11846.905345
6,0.187614,0.187614,-11484.087776, -11612.540092
6,0.071072,0.071072,-10516.876538, -10926.900300
6,0.092086,0.092086,-10567.407446, -10930.083270
6,0.019072,0.019072,-10352.537117, -11300.778597
6,0.182047,0.182047,-11286.193279, -11490.750196
6,0.133604,0.133604,-10918.859135, -11129.579478
7,0.074078,0.074078,-10511.748654, -10979.426274
