# FBP,BGP,LogLik
0.086173,0.086173,-9463.763447
0.098737,0.098737,-9567.195531
0.085166,0.085166,-9456.310633
0.062452,0.062452,-9332.336924
0.085270,0.085270,-9457.075914
0.178678,0.178678,-10506.154971
0.188832,0.188832,-10649.207556
0.100367,0.100367,-9581.884739
0.124791,0.124791,-9829.501615
0.023124,0.023124,-9565.167126
0.063457,0.063457,-9335.626900
0.082965,0.082965,-9440.496956
0.173262,0.173262,-10431.714922
0.050091,0.050091,-9315.587700
0.096607,0.096607,-9548.410946
0.197112,0.197112,-10769.171103
0.103897,0.103897,-9614.573673
0.122579,0.122579,-9805.210728
0.024126,0.024126,-9542.458587
0.165268,0.165268,-10324.268704
0.120612,0.120612,-9783.889866
0.109014,0.109014,-9663.981341
0.068553,0.068553,-9355.940456
0.060824,0.060824,-9327.548687
0.083404,0.083404,-9443.598705
0.136260,0.136260,-9960.495560
0.175091,0.175091,-10456.714347
0.102084,0.102084,-9597.639036
0.133863,0.133863,-9932.449887
0.117187,0.117187,-9747.421098
0.124981,0.124981,-9831.604912
0.134938,0.134938,-9944.984489
