"Model3","Model4","Model5","Model6","Model7","Best","Error","RepID"
-4935.86,-4525.66,-4442.13,-4467.06,-4517.55,5,0.01,74
-6007.94,-5534.12,-5334.89,-5382.42,-5441.12,5,0.01,75
-5874.87,-5553.26,-5416.04,-5489.74,-5525.08,5,0.01,76
-6190.76,-5827.39,-5646.82,-5680.41,-5741.42,5,0.01,77
-6247.36,-5932.78,-5629.51,-5667.7,-5715.65,5,0.01,78
-6591.59,-6185.29,-5939.59,-5964.16,-6018.28,5,0.01,79
-6375.19,-5910.69,-6415.72,-5817.85,-5880.14,6,0.01,80
-5528.51,-5158.83,-5066.29,-5094.17,-5165.85,5,0.01,81
-5894.71,-5771.38,-5679.53,-5182.66,-5352.42,6,0.01,82
-6174.84,-5933.85,-5775.48,-5826.77,-5887.96,5,0.01,83
-5991.16,-5610.45,-5468.61,-5496.04,-5553.48,5,0.01,84
-6151.81,-5673.62,-5542.48,-5579.26,-5633.49,5,0.01,85
-6291.36,-6071.03,-5808.42,-5888.93,-5917.9,5,0.01,86
-5890.13,-5497.57,-5247.67,-5265.03,-5314.43,5,0.01,87
-7064.74,-6608.05,-6383.66,-6411.41,-6470.39,5,0.01,88
-5844.23,-5551.03,-5469.27,-5503.5,-5556.57,5,0.01,89
-6674.75,-6159.38,-5946.85,-5983.32,-6037.01,5,0.01,90
-6188.67,-5937.18,-5763.36,-5796.84,-5966.76,5,0.01,91
-5140.19,-4893.1,-4776.28,-4825.47,-5046.89,5,0.01,92
-7024.99,-6522.3,-6006.15,-6318.26,-6105.7,5,0.01,93
-6199.56,-5857.34,-5648.15,-5681.68,-5733.8,5,0.01,94
-5952.8,-5657.03,-5514.57,-5573.62,-5618,5,0.01,95
-6589.01,-6254.52,-6019.69,-6058.7,-6116.61,5,0.01,96
-5388.07,-5151.5,-4936.97,-4963.42,-5184.01,5,0.01,97
-6112.07,-5806.72,-5503.47,-5548.48,-5676.97,5,0.01,98
-6659.23,-7003.1,-6123.86,-6150.27,-6211.18,5,0.01,99
-5819.42,-5677.55,-5672.04,-5448.09,-5512.44,6,0.01,100
-12007.3,-11918.7,-11886,-11888.9,-11905.7,5,0.05,1
-11344.2,-11229.1,-11167.8,-11208.8,-11218.8,5,0.05,2
-12305.4,-12127.9,-12090.1,-12098.8,-12498.8,5,0.05,3
-11905,-11791.4,-11765,-11774.7,-11771.3,5,0.05,4
-12255,-12055.9,-12029.1,-12037.2,-12057.3,5,0.05,5
-12492.7,-12389.1,-12321,-12325.6,-12428.3,5,0.05,6
-12397.3,-12318.3,-12291.4,-12287.9,-12308.1,6,0.05,7
-11873,-11710,-11684,-11675.3,-11688.8,6,0.05,8
-12702.2,-12750.9,-12308.6,-12330,-12401.5,5,0.05,9
-12287.4,-12172.9,-12116.3,-12106,-12171.4,6,0.05,10
-12672.9,-12519.8,-12937.9,-12453.7,-12604.3,6,0.05,11
-13078.2,-12975.5,-12900.1,-12911.2,-13260.1,5,0.05,12
-12288.9,-12456.8,-12190.4,-12121.5,-12446.9,6,0.05,13
-12434,-12352.9,-12333.3,-12334,-12341.5,5,0.05,14
-12691.4,-12391,-12109.7,-12204.5,-12339,5,0.05,15
-12678.8,-12738.2,-12535.2,-12456,-12560,6,0.05,16
-12258,-12102.6,-12078,-12082.6,-12135.1,5,0.05,17
-12019.6,-11929.1,-11888.3,-12389.5,-12410.3,5,0.05,18
-12136.3,-12042.6,-12010.3,-12008.8,-12015.1,6,0.05,19
-12530.3,-12449.6,-12928.2,-12342.6,-12617,6,0.05,20
-12916,-12850.3,-12570.7,-12857,-12623.2,5,0.05,21
-12153.3,-12059.1,-11972.8,-11980.1,-12063.7,5,0.05,22
-11946.7,-11825.3,-11776,-11819.3,-11885.1,5,0.05,23
-11692.9,-11570,-11846.7,-11544.4,-11573,6,0.05,24
-12148.9,-11893.3,-11835,-11846.6,-11869.4,5,0.05,25
-13053.7,-12714.5,-12669.3,-12439,-12857.1,6,0.05,26
-12477.1,-11910.6,-11772.1,-12531.6,-12515.9,5,0.05,27
-11836.9,-11711.1,-11683.8,-11702.5,-12014.8,5,0.05,28
-12832.6,-12659.7,-12603.3,-12672.1,-12654.5,5,0.05,29
-12252.7,-12162.4,-12670.7,-12154.3,-12159.5,6,0.05,30
-12099.7,-11923.2,-11877.9,-11867.9,-11876,6,0.05,31
-12362.2,-12425.5,-12358.8,-12087.4,-12119,6,0.05,32
-12698.7,-12547.1,-12470.3,-12493.7,-12530.2,5,0.05,33
-12496.7,-12328.7,-12266.7,-12861,-12388.1,5,0.05,34
-12775.4,-12496.1,-12432.1,-12437.3,-12458.6,5,0.05,35
-12720.9,-12634.7,-13003.3,-12591.8,-12628,6,0.05,36
-12214.8,-12035.9,-11993.2,-11986.2,-12003.9,6,0.05,37
-12312.7,-12020,-11970.2,-11982.5,-11996.5,5,0.05,38
-12603.7,-12470.3,-12413.4,-12436.8,-12433.1,5,0.05,39
-12168.8,-11969.6,-11938.7,-11949.5,-11983.5,5,0.05,40
-12668.2,-12527.4,-12483.2,-12484.6,-12528.7,5,0.05,41
-12519.1,-12733.1,-12307.5,-12590.4,-12357.8,5,0.05,42
-12102.6,-11984.3,-12016.1,-12140.7,-12032.2,4,0.05,43
-12195.8,-12098.1,-12061,-12066.4,-12251.6,5,0.05,44
-11974.3,-11840,-11762.2,-11779.9,-11805.2,5,0.05,45
-12366.9,-12023.6,-11972.9,-11979.8,-12414.2,5,0.05,46
-11769.4,-11654.9,-11641.6,-11645.7,-11666.8,5,0.05,47
-12667,-12375.2,-12846,-12377.7,-12358.7,7,0.05,48
-12471.9,-12391.6,-12333.2,-12448.4,-12636.1,5,0.05,49
-12419.9,-12318.1,-12261.4,-12284,-12288.1,5,0.05,50
-12427.6,-12397.4,-12564.3,-12324.1,-12342.5,6,0.05,51
-11953.3,-11714,-11673.1,-11673,-11704.1,6,0.05,52
-12143.8,-12123.3,-12056.5,-12079.5,-12068,5,0.05,53
-12506.3,-12248.9,-12717.5,-12196.2,-12226.3,6,0.05,54
-12775.5,-12469.7,-12366.1,-12464.7,-12426.6,5,0.05,55
-12981.2,-12861.8,-12763,-12772.4,-12801,5,0.05,56
-12440.3,-12303.7,-12246.9,-12724.3,-12301.3,5,0.05,57
-13020.2,-12675.4,-12598.5,-12718.7,-12650,5,0.05,58
-12684.2,-12627.1,-12634.1,-12667.3,-12557.3,7,0.05,59
-12236.6,-12010.6,-11974.3,-11986.7,-12214.8,5,0.05,60
-12542.8,-12392.7,-12495.2,-12374.5,-12651.6,6,0.05,61
-12924.3,-12707.2,-12582.7,-12598.2,-12624.8,5,0.05,62
-12231.9,-12114.7,-12140.1,-12229.3,-12038.4,7,0.05,63
-12727,-12578.6,-12778.6,-12487.3,-12533.4,6,0.05,64
-12220.8,-12137.6,-12126.3,-12085.3,-12128.5,6,0.05,65
-12494.4,-12528.6,-12359.7,-12351.4,-12369.7,6,0.05,66
-12735.9,-12666.5,-12641.2,-12522.6,-12716.7,6,0.05,67
-12472.3,-12381,-12368.2,-12314.8,-12344.6,6,0.05,68
-12714.9,-12443.2,-12385.7,-12713.1,-12689.8,5,0.05,69
-11952.3,-11802.8,-11788.1,-11806.1,-11835.5,5,0.05,70
-12738.2,-12599.8,-12519.7,-12529.6,-12548.9,5,0.05,71
-12927.6,-12714.6,-12882.6,-12687.2,-12971.5,6,0.05,72
-12053.4,-11981.8,-11955.8,-11951.3,-11976.7,6,0.05,73
-11861.4,-11744.3,-11711.8,-11700,-11719.5,6,0.05,74
-12813.7,-12411.6,-12235.5,-12254.1,-12290.8,5,0.05,75
-12962.8,-12818.5,-12799.4,-12929.2,-13033.1,5,0.05,76
-12674.9,-12567.1,-12556.6,-12538.8,-12665.6,6,0.05,77
-12362.3,-12231.7,-12097,-12219,-12319.1,5,0.05,78
-12246.3,-12141.2,-12084.1,-12094.7,-12113.3,5,0.05,79
-12926.5,-12833.9,-12321.3,-12342.2,-12381.1,5,0.05,80
-12674.6,-12543.5,-12464.8,-13114.2,-12678.9,5,0.05,81
-12515.9,-12424.6,-12321.3,-12358.5,-12391.6,5,0.05,82
-12225.1,-12116.1,-12074.8,-12067.6,-12087.5,6,0.05,83
-12000.6,-11677.8,-11650.2,-11658.4,-11676.8,5,0.05,84
-12943.9,-12822.1,-12689.5,-12992.4,-13193.6,5,0.05,85
-11630.5,-11525.9,-11978.1,-11488.1,-11682.7,6,0.05,86
-12829.5,-12764.4,-12652.3,-12663,-12711.3,5,0.05,87
-12679.9,-12567.8,-12460.2,-12473.7,-13221.3,5,0.05,88
-12914.5,-12726.8,-12664.6,-12667.2,-12688.2,5,0.05,89
-12724.4,-12326.4,-12273.6,-12280.5,-12287.2,5,0.05,90
-12143.1,-12042.3,-11989.7,-11992.3,-11996.8,5,0.05,91
-12823,-12664.1,-12611.8,-12624.4,-13164.5,5,0.05,92
-12318.5,-12182.4,-12137.1,-12149.2,-12231.2,5,0.05,93
-12597,-12319.2,-12288.5,-12298.9,-12745.7,5,0.05,94
-12528.5,-12440.7,-12314.1,-12338.4,-12550.9,5,0.05,95
-12173.3,-12086.9,-12040.5,-12100.3,-12072.3,5,0.05,96
-12012.8,-11945.3,-11863.4,-11927.1,-11972.5,5,0.05,97
-11538.8,-11443.8,-11418.2,-11415.4,-11428.5,6,0.05,98
-11991.4,-11905.1,-11865.3,-11875,-11891.4,5,0.05,99
-11797,-11727.4,-11667.1,-11691.1,-11700.2,5,0.05,100
-18145.9,-18088.5,-18067.8,-18051.5,-18051.8,6,0.1,1
-18176.4,-18128.4,-18106.6,-18035.2,-18171.6,6,0.1,2
-18155.4,-18123.6,-18256.6,-18125,-18125.3,4,0.1,3
-18058.8,-18021.1,-17996.7,-17990.6,-17986.8,7,0.1,4
-18235.6,-18182.6,-18189,-18377.9,-18179,7,0.1,5
-17858,-17798.5,-17778.6,-17871,-17782.5,5,0.1,6
-18096.4,-18047.5,-18024.1,-18063.9,-18296.3,5,0.1,7
-17966.7,-17927.3,-17888.3,-17890.5,-17937.8,5,0.1,8
-18200.7,-18220,-18260.5,-18276.6,-18049.7,7,0.1,9
-17842.4,-17793.7,-18228.4,-17795.1,-17787.3,7,0.1,10
-18418.8,-18378.4,-18347.8,-18349.9,-18496.6,5,0.1,11
-18077.8,-18168,-17927,-17931.4,-17941.7,5,0.1,12
-17242,-17182.9,-17167.7,-17174.4,-17171.4,5,0.1,13
-18281,-18167,-18145.7,-18146.7,-18250.1,5,0.1,14
