# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.064470,0.064470,-8454.263538, -8525.798548
2,0.020732,0.020732,-9648.333624, -9759.791936
2,0.138853,0.138853,-8629.077767, -8668.432775
2,0.104656,0.104656,-8398.546102, -8562.302312
2,0.077090,0.077090,-8383.024703, -8421.978758
2,0.189949,0.189949,-9250.526584, -9284.819685
2,0.182486,0.182486,-9143.350553, -9184.247390
2,0.075590,0.075590,-8388.348120, -8501.431628
2,0.189098,0.189098,-9238.043734, -9359.911675
2,0.086404,0.086404,-8365.954755, -8370.559926
2,0.041228,0.041228,-8808.673399, -8853.360483
2,0.124130,0.124130,-8507.272114, -8547.750353
2,0.018850,0.018850,-9781.526320, -9811.692361
2,0.030533,0.030533,-9143.795605, -9306.804409
2,0.162855,0.162855,-8886.697797, -8966.537154
2,0.163821,0.163821,-8898.429919, -8952.862619
2,0.048123,0.048123,-8662.801560, -8693.481938
2,0.149373,0.149373,-8733.691476, -8834.338834
2,0.194714,0.194714,-9321.543667, -9532.331005
2,0.191568,0.191568,-9274.434524, -9401.384236
2,0.088904,0.088904,-8365.640623, -8479.783321
2,0.172781,0.172781,-9011.737285, -9171.421450
2,0.111421,0.111421,-8428.728688, -8495.205084
2,0.112958,0.112958,-8436.770233, -8569.426276
2,0.047854,0.047854,-8667.704224, -8773.781731
2,0.076842,0.076842,-8383.849413, -8535.228989
2,0.042975,0.042975,-8767.495023, -8811.870687
2,0.148490,0.148490,-8724.398581, -8799.085060
2,0.128118,0.128118,-8537.214452, -8652.533953
2,0.160895,0.160895,-8863.219235, -8866.725792
2,0.123976,0.123976,-8506.160439, -8571.724442
2,0.055437,0.055437,-8549.531836, -8589.478899
3,0.064470,0.064470,-8310.119459, -8336.825441
3,0.020732,0.020732,-8872.326592, -9044.060932
3,0.138853,0.138853,-8722.759941, -8852.496535
3,0.104656,0.104656,-8404.140037, -8470.620778
3,0.077090,0.077090,-8275.387573, -8369.570071
3,0.189949,0.189949,-9394.924436, -9472.503857
3,0.182486,0.182486,-9286.992583, -9438.575740
3,0.075590,0.075590,-8307.465053, -8354.693918
3,0.189098,0.189098,-9388.758387, -9477.416881
3,0.086404,0.086404,-8312.373188, -8522.639875
3,0.041228,0.041228,-8461.459968, -8585.742021
3,0.124130,0.124130,-8579.721713, -8728.216619
3,0.018850,0.018850,-8951.702204, -9104.719818
3,0.030533,0.030533,-8598.078415, -8875.686886
3,0.162855,0.162855,-9013.246658, -9120.819470
3,0.163821,0.163821,-9026.066234, -9141.642935
3,0.048123,0.048123,-8389.248730, -8419.663410
3,0.149373,0.149373,-8836.847899, -8903.046582
3,0.194714,0.194714,-9487.558769, -9524.842770
3,0.191568,0.191568,-9418.103188, -9508.913770
3,0.088904,0.088904,-8339.471697, -8444.974071
3,0.172781,0.172781,-9157.752383, -9282.742816
3,0.111421,0.111421,-8467.464120, -8628.551664
3,0.112958,0.112958,-8479.196525, -8630.747470
3,0.047854,0.047854,-8386.510387, -8554.149252
3,0.076842,0.076842,-8274.899517, -8356.206315
3,0.042975,0.042975,-8429.758702, -8567.632929
3,0.148490,0.148490,-8836.039334, -8953.609821
3,0.128118,0.128118,-8603.470180, -8780.016302
3,0.160895,0.160895,-9007.365471, -9069.727547
3,0.123976,0.123976,-8563.569617, -8657.001477
3,0.055437,0.055437,-8298.272988, -8462.062352
4,0.064470,0.064470,-8331.207159, -8443.536405
4,0.020732,0.020732,-8405.564429, -8781.410935
