# Model,FBP,BGP,MarginalLogLikSum,MarginalLogLikSMC
2,0.130150,0.130150,-9383.442316, -9447.669999
2,0.173092,0.173092,-9901.551921, -9951.455783
2,0.005048,0.005048,-11424.174635, -11502.301446
2,0.053381,0.053381,-9134.450212, -9188.040542
2,0.100414,0.100414,-9229.478498, -9277.477762
2,0.013490,0.013490,-10199.692004, -10346.812371
2,0.198607,0.198607,-10254.684114, -10317.591757
2,0.047292,0.047292,-9177.212749, -9245.692569
2,0.074858,0.074858,-9034.460554, -9144.153703
2,0.042802,0.042802,-9223.346474, -9279.454778
2,0.021089,0.021089,-9761.270676, -9842.004148
2,0.046496,0.046496,-9184.403834, -9233.284844
2,0.060122,0.060122,-9050.125306, -9181.967362
2,0.126888,0.126888,-9351.204552, -9411.448529
2,0.056247,0.056247,-9120.903351, -9184.514860
2,0.072455,0.072455,-9103.807508, -9142.290344
2,0.001189,0.001189,-13165.793084, -13354.232734
2,0.073144,0.073144,-9032.871354, -9101.655701
2,0.106777,0.106777,-9179.219289, -9244.600443
2,0.032403,0.032403,-9396.259806, -9443.801637
2,0.119487,0.119487,-9282.283227, -9345.600616
2,0.058630,0.058630,-9112.419919, -9156.752067
2,0.126410,0.126410,-9346.569722, -9403.742888
2,0.005239,0.005239,-11300.525188, -11394.286749
2,0.177519,0.177519,-9956.054273, -10000.290681
2,0.003224,0.003224,-12012.234443, -12061.009892
2,0.025392,0.025392,-9569.724767, -9668.817235
2,0.155432,0.155432,-9675.020903, -9750.040376
2,0.009179,0.009179,-10632.573868, -10734.189512
2,0.142200,0.142200,-9537.703402, -9634.533315
2,0.194209,0.194209,-10190.499749, -10222.452047
2,0.174337,0.174337,-9912.328605, -9974.586887
3,0.130150,0.130150,-9269.662761, -9509.555237
3,0.173092,0.173092,-9868.449176, -10015.417439
3,0.005048,0.005048,-9948.858155, -10329.389400
3,0.053381,0.053381,-8634.972161, -8879.692142
3,0.100414,0.100414,-8932.174401, -9197.152377
3,0.013490,0.013490,-9188.692126, -9648.231222
3,0.198607,0.198607,-10271.059505, -10427.725377
3,0.047292,0.047292,-8635.634410, -9151.027076
3,0.074858,0.074858,-8720.048044, -8923.884434
3,0.042802,0.042802,-8646.184489, -8956.751679
3,0.021089,0.021089,-8910.348165, -9225.061323
3,0.046496,0.046496,-8636.824117, -9022.600445
3,0.060122,0.060122,-8648.993993, -8891.763226
3,0.126888,0.126888,-9229.031025, -9416.036133
3,0.056247,0.056247,-8639.231942, -9088.520206
3,0.072455,0.072455,-8705.319474, -8925.927462
3,0.001189,0.001189,-11218.917650, -12093.518346
3,0.073144,0.073144,-9067.120762, -9192.232412
3,0.106777,0.106777,-8997.578473, -9210.700954
3,0.032403,0.032403,-8715.642677, -9134.185183
3,0.119487,0.119487,-9347.953440, -9425.464467
3,0.058630,0.058630,-8644.722772, -8958.350222
3,0.126410,0.126410,-9416.039999, -9577.349019
3,0.005239,0.005239,-9917.892068, -10363.348989
3,0.177519,0.177519,-9936.040572, -10099.941522
3,0.003224,0.003224,-10331.688652, -11299.263110
3,0.025392,0.025392,-8815.414318, -9457.734147
3,0.155432,0.155432,-9609.030111, -9785.097613
3,0.009179,0.009179,-9468.628959, -9873.368179
3,0.142200,0.142200,-9426.282988, -9568.501025
3,0.194209,0.194209,-10199.477866, -10327.448290
3,0.174337,0.174337,-9887.353325, -10042.112677
4,0.130150,0.130150,-9452.208021, -9676.431308
4,0.173092,0.173092,-10064.668068, -10184.760620
4,0.005048,0.005048,-9912.581835, -10708.112161
4,0.053381,0.053381,-9198.447846, -9396.713989
4,0.100414,0.100414,-9105.927088, -9443.702612
4,0.013490,0.013490,-9225.656355, -9687.134320
4,0.198607,0.198607,-10469.131256, -10623.570132
4,0.047292,0.047292,-8749.291106, -9339.850405
4,0.074858,0.074858,-9231.111181, -9440.391072
4,0.042802,0.042802,-8743.249912, -9208.144114
4,0.021089,0.021089,-8967.538716, -9371.304483
4,0.046496,0.046496,-8748.569948, -9076.665220
4,0.060122,0.060122,-8776.270629, -9073.796707
4,0.126888,0.126888,-9416.104463, -9652.414683
4,0.056247,0.056247,-8760.437404, -9189.320510
4,0.072455,0.072455,-8853.201079, -9309.361572
4,0.001189,0.001189,-11158.189100, -12539.515908
4,0.073144,0.073144,-9294.317809, -9455.847905
4,0.106777,0.106777,-9173.038130, -9454.562545
4,0.032403,0.032403,-8797.236819, -9162.115789
4,0.119487,0.119487,-9315.734316, -9514.443149
4,0.058630,0.058630,-8763.793602, -8967.563005
4,0.126410,0.126410,-9406.314859, -9636.670678
4,0.005239,0.005239,-9883.510173, -10609.836778
4,0.177519,0.177519,-10215.824114, -10321.651790
4,0.003224,0.003224,-10313.944630, -11531.782574
4,0.025392,0.025392,-8884.668224, -9441.763862
4,0.155432,0.155432,-9802.562284, -9977.642973
4,0.009179,0.009179,-9465.663760, -10199.896253
4,0.142200,0.142200,-9619.042016, -9876.666361
4,0.194209,0.194209,-10400.915609, -10563.520419
4,0.174337,0.174337,-10084.332224, -10251.755014
5,0.130150,0.130150,-9648.350029, -9919.422526
5,0.173092,0.173092,-10278.052560, -10463.865153
5,0.005048,0.005048,-11282.380207, -11884.017914
5,0.053381,0.053381,-8987.431354, -9471.422103
5,0.100414,0.100414,-9660.973958, -9801.417785
5,0.013490,0.013490,-9683.927028, -10077.139970
5,0.198607,0.198607,-10632.093122, -10763.542769
5,0.047292,0.047292,-8937.862277, -9312.222506
5,0.074858,0.074858,-9057.837567, -9526.509526
5,0.042802,0.042802,-8944.465101, -9502.564970
5,0.021089,0.021089,-9212.140790, -9911.600094
5,0.046496,0.046496,-8951.558317, -9533.624247
5,0.060122,0.060122,-8971.337908, -9670.340400
5,0.126888,0.126888,-9635.003553, -9820.160192
5,0.056247,0.056247,-8963.087605, -9480.235886
5,0.072455,0.072455,-9036.945132, -9432.144570
5,0.001189,0.001189,-11452.725631, -13017.438016
5,0.073144,0.073144,-9047.655194, -9510.481101
5,0.106777,0.106777,-9384.475840, -9688.642488
5,0.032403,0.032403,-9024.319529, -9649.504643
5,0.119487,0.119487,-9506.239684, -9781.514306
5,0.058630,0.058630,-9548.642166, -9669.925989
