# FBP,BGP,LogLik
0.130150,0.130150,-9269.662761
0.173092,0.173092,-9868.449176
0.005048,0.005048,-9948.858155
0.053381,0.053381,-8634.972161
0.100414,0.100414,-8932.174401
0.013490,0.013490,-9188.692126
0.198607,0.198607,-10271.059505
0.047292,0.047292,-8635.634410
0.074858,0.074858,-8720.048044
0.042802,0.042802,-8646.184489
0.021089,0.021089,-8910.348165
0.046496,0.046496,-8636.824117
0.060122,0.060122,-8648.993993
0.126888,0.126888,-9229.031025
0.056247,0.056247,-8639.231942
0.072455,0.072455,-8705.319474
0.001189,0.001189,-11218.917650
0.073144,0.073144,-8709.427831
0.106777,0.106777,-8997.578473
0.032403,0.032403,-8715.642677
0.119487,0.119487,-9139.854180
0.058630,0.058630,-8644.722772
0.126410,0.126410,-9223.138754
0.005239,0.005239,-9917.892068
0.177519,0.177519,-9936.040572
0.003224,0.003224,-10331.688652
0.025392,0.025392,-8815.414318
0.155432,0.155432,-9609.030111
0.009179,0.009179,-9468.628959
0.142200,0.142200,-9426.282988
0.194209,0.194209,-10199.477866
0.174337,0.174337,-9887.353325
