# FBP,BGP,LogLik
0.135144,0.135144,-11099.464668
0.174272,0.174272,-11625.277542
0.190534,0.190534,-11859.409841
0.076717,0.076717,-10497.138889
0.045274,0.045274,-10399.123209
0.147826,0.147826,-11262.954904
0.142485,0.142485,-11193.159035
0.194885,0.194885,-11923.264659
0.019578,0.019578,-10737.633462
0.175629,0.175629,-11644.512466
0.035132,0.035132,-10453.298692
0.149467,0.149467,-11284.646789
0.199085,0.199085,-11985.374784
0.046356,0.046356,-10396.882317
0.148436,0.148436,-11271.000011
0.154832,0.154832,-11356.362560
0.056192,0.056192,-10399.395168
0.184246,0.184246,-11767.988023
0.013933,0.013933,-10972.180706
0.045776,0.045776,-10398.012298
0.058916,0.058916,-10406.204236
0.018011,0.018011,-10791.457568
0.049050,0.049050,-10393.679050
0.157433,0.157433,-11391.553110
0.053447,0.053447,-10394.977306
0.101323,0.101323,-10711.111975
0.027071,0.027071,-10557.105985
0.118337,0.118337,-10896.315802
0.122174,0.122174,-10941.138100
0.043652,0.043652,-10403.593943
0.014930,0.014930,-10921.462597
0.140357,0.140357,-11165.726020
