# FBP,BGP,LogLik
0.135144,0.135144,-8752.414881
0.174272,0.174272,-9339.534465
0.190534,0.190534,-9612.738814
0.076717,0.076717,-8136.923775
0.045274,0.045274,-8054.708971
0.147826,0.147826,-8930.777863
0.142485,0.142485,-8854.143277
0.194885,0.194885,-9688.407798
0.019578,0.019578,-8381.990136
0.175629,0.175629,-9361.721194
0.035132,0.035132,-8111.101985
0.149467,0.149467,-8954.739664
0.199085,0.199085,-9762.470166
0.046356,0.046356,-8052.021251
0.148436,0.148436,-8939.656930
0.154832,0.154832,-9034.437255
0.056192,0.056192,-8049.606270
0.184246,0.184246,-9505.255155
0.013933,0.013933,-8598.423525
0.045776,0.045776,-8053.394209
0.058916,0.058916,-8054.917421
0.018011,0.018011,-8431.980501
0.049050,0.049050,-8047.597393
0.157433,0.157433,-9073.808151
0.053447,0.053447,-8046.668233
0.101323,0.101323,-8346.435457
0.027071,0.027071,-8212.011849
0.118337,0.118337,-8536.661467
0.122174,0.122174,-8583.668117
0.043652,0.043652,-8059.793863
0.014930,0.014930,-8551.896293
0.140357,0.140357,-8824.219889
